design_mode,agv_number,workload,candidate_value,mean_completion_rate,stop_free_fraction,mean_delay,feasible_99,feasible_97,feasible_95
pad,3,45,1,99.80276773079606,1.0,0.46037101235388567,True,True,True
pad,3,45,2,99.80276773079606,1.0,0.45854018670939295,True,True,True
pad,3,45,3,99.80276773079606,1.0,0.4585345255411565,True,True,True
pad,3,45,5,99.80276773079606,1.0,0.4585345255411565,True,True,True
pad,3,75,1,82.03682854118134,1.0,144.5351504962895,False,False,False
pad,3,75,2,84.25721468861292,1.0,121.597929209455,False,False,False
pad,3,75,3,84.2424403860825,1.0,120.4716225487792,False,False,False
pad,3,75,5,84.2424403860825,1.0,120.4716225487792,False,False,False
pad,3,105,1,58.46510664252457,1.0,492.30021753550847,False,False,False
pad,3,105,2,60.27450473578373,1.0,461.80299420097623,False,False,False
pad,3,105,3,60.52273397613823,1.0,458.1502035234581,False,False,False
pad,3,105,5,60.52273397613823,1.0,458.1502035234581,False,False,False
pad,5,45,1,99.83793203045026,1.0,0.026590375269088383,True,True,True
pad,5,45,2,99.83793203045026,1.0,0.025290590983499776,True,True,True
pad,5,45,3,99.83793203045026,1.0,0.025278027688295297,True,True,True
pad,5,45,5,99.83793203045026,1.0,0.025278027688295297,True,True,True
pad,5,75,1,99.80713881108072,1.0,0.20468551353778705,True,True,True
pad,5,75,2,99.80713881108072,1.0,0.1970167272391957,True,True,True
pad,5,75,3,99.80713881108072,1.0,0.19693176977094098,True,True,True
pad,5,75,5,99.80713881108072,1.0,0.19692647815706074,True,True,True
pad,5,105,1,91.96431108683319,1.0,63.07285075106416,False,False,False
pad,5,105,2,97.86227731560277,1.0,11.721520412802466,False,True,True
pad,5,105,3,98.70503041708233,1.0,4.571815186619554,False,True,True
pad,5,105,5,99.24631066189262,1.0,3.2922371548727978,True,True,True
pad,7,45,1,99.82317856072487,1.0,0.0032235045615229534,True,True,True
pad,7,45,2,99.82317856072487,1.0,0.0014835141088553059,True,True,True
pad,7,45,3,99.82317856072487,1.0,0.0014630947935830212,True,True,True
pad,7,45,5,99.82317856072487,1.0,0.0014625632823429807,True,True,True
pad,7,75,1,99.84045808548018,1.0,0.02452473981386735,True,True,True
pad,7,75,2,99.84045808548018,1.0,0.018932173306011872,True,True,True
pad,7,75,3,99.84045808548018,1.0,0.01884017756953412,True,True,True
pad,7,75,5,99.84045808548018,1.0,0.01883899608889755,True,True,True
pad,7,105,1,99.81978406543467,1.0,0.12247821307417052,True,True,True
pad,7,105,2,99.82137017954939,1.0,0.10663127793160677,True,True,True
pad,7,105,3,99.82137017954939,1.0,0.10636833450923187,True,True,True
pad,7,105,5,99.82137017954939,1.0,0.10635529224775336,True,True,True
pad,10,45,1,99.82693923588702,1.0,0.002438499501064993,True,True,True
pad,10,45,2,99.82693923588702,1.0,5.509156751769935e-05,True,True,True
