criterion_completion,scenario,scenario_value,strategy,feasible,mean_completion_rate,stop_free_fraction,mean_delay
0.95,A_agv,10,C1,True,99.74526310239109,1.0,0.4201747108100731
0.95,A_agv,10,C2,True,99.82478399459018,1.0,0.000636068939991884
0.95,A_agv,10,C3,True,99.82478399459018,1.0,0.0005843174587462378
0.95,A_agv,10,C4,True,99.82478399459018,1.0,0.0006229763524651828
0.95,A_agv,3,C1,False,83.87062206285894,1.0,127.86403060893139
0.95,A_agv,3,C2,False,83.53777470392994,1.0,121.77441311273105
0.95,A_agv,3,C3,False,83.53777470392994,1.0,121.77441311273105
0.95,A_agv,3,C4,False,84.25721468861292,1.0,121.597929209455
0.95,A_agv,5,C1,True,99.77423546630449,1.0,2.403143627702507
0.95,A_agv,5,C2,True,99.80713881108072,1.0,0.19724672360712137
0.95,A_agv,5,C3,True,99.80713881108072,1.0,0.19516515911550136
0.95,A_agv,5,C4,True,99.80713881108072,1.0,0.1970167272391957
0.95,A_agv,7,C1,True,99.84045808548018,1.0,0.6096688800280698
0.95,A_agv,7,C2,True,99.84045808548018,1.0,0.019001819918549084
0.95,A_agv,7,C3,True,99.84045808548018,1.0,0.018314269279924827
0.95,A_agv,7,C4,True,99.84045808548018,1.0,0.018932173306011872
0.95,B_pad,1,C1,True,99.74528604441218,1.0,9.104203851335493
0.95,B_pad,1,C2,True,99.80713881108072,1.0,0.20525949646358999
0.95,B_pad,1,C3,True,99.80713881108072,1.0,0.20325192689010513
0.95,B_pad,1,C4,True,99.80713881108072,1.0,0.20468551353778705
0.95,B_pad,2,C1,True,99.77423546630449,1.0,2.403143627702507
0.95,B_pad,2,C2,True,99.80713881108072,1.0,0.19724672360712137
0.95,B_pad,2,C3,True,99.80713881108072,1.0,0.19516515911550136
0.95,B_pad,2,C4,True,99.80713881108072,1.0,0.1970167272391957
0.95,B_pad,3,C1,True,99.78422275843866,1.0,1.8571290690383007
0.95,B_pad,3,C2,True,99.80713881108072,1.0,0.19716356527218576
0.95,B_pad,3,C3,True,99.80713881108072,1.0,0.1949454650080706
0.95,B_pad,3,C4,True,99.80713881108072,1.0,0.19693176977094098
0.95,B_pad,5,C1,True,99.78422275843866,1.0,1.8107381096813697
0.95,B_pad,5,C2,True,99.80713881108072,1.0,0.1971605276107604
0.95,B_pad,5,C3,True,99.80713881108072,1.0,0.19487277485433516
0.95,B_pad,5,C4,True,99.80713881108072,1.0,0.19692647815706074
0.95,C_workload,105,C1,True,95.43269652589848,1.0,33.39521394970914
0.95,C_workload,105,C2,True,97.73351499344211,1.0,9.58407752720771
0.95,C_workload,105,C3,True,97.73593825677005,1.0,9.583970668208616
0.95,C_workload,105,C4,True,97.86227731560277,1.0,11.721520412802466
0.95,C_workload,45,C1,True,99.82063216398313,1.0,0.5069192303621273
0.95,C_workload,45,C2,True,99.83793203045026,1.0,0.025325978051208006
0.95,C_workload,45,C3,True,99.83793203045026,1.0,0.02474332408345224
0.95,C_workload,45,C4,True,99.83793203045026,1.0,0.025290590983499776
0.95,C_workload,75,C1,True,99.77423546630449,1.0,2.403143627702507
0.95,C_workload,75,C2,True,99.80713881108072,1.0,0.19724672360712137
0.95,C_workload,75,C3,True,99.80713881108072,1.0,0.19516515911550136
0.95,C_workload,75,C4,True,99.80713881108072,1.0,0.1970167272391957
0.95,D_power,1,C1,False,94.38213181414152,1.0,80.90930575661808
0.95,D_power,1,C2,True,99.80713881108072,1.0,0.19771284202232275
0.95,D_power,1,C3,True,99.80713881108072,1.0,0.19771284202232275
0.95,D_power,1,C4,True,99.80713881108072,1.0,0.19771284202232275
0.95,D_power,3,C1,True,99.77423546630449,1.0,2.403143627702507
0.95,D_power,3,C2,True,99.80713881108072,1.0,0.19724672360712137
0.95,D_power,3,C3,True,99.80713881108072,1.0,0.19516515911550136
0.95,D_power,3,C4,True,99.80713881108072,1.0,0.1970167272391957
0.95,D_power,5,C1,True,99.77868399841208,1.0,0.7392590953195409
0.95,D_power,5,C2,True,99.80713881108072,1.0,0.19720126177527436
0.95,D_power,5,C3,True,99.80713881108072,1.0,0.19466697864631827
0.95,D_power,5,C4,True,99.80713881108072,1.0,0.19696435145921698
0.95,ablation_efficiency,C4-Fixed,C4-Fixed,True,99.80713881108072,1.0,0.1972381599797346
0.95,ablation_efficiency,C4-Variable,C4-Variable,True,99.80713881108072,1.0,0.1970167272391957
0.95,base,base,C1,True,99.77423546630449,1.0,2.403143627702507
0.95,base,base,C2,True,99.80713881108072,1.0,0.19724672360712137
0.95,base,base,C3,True,99.80713881108072,1.0,0.19516515911550136
0.95,base,base,C4,True,99.80713881108072,1.0,0.1970167272391957
0.97,A_agv,10,C1,True,99.74526310239109,1.0,0.4201747108100731
0.97,A_agv,10,C2,True,99.82478399459018,1.0,0.000636068939991884
0.97,A_agv,10,C3,True,99.82478399459018,1.0,0.0005843174587462378
0.97,A_agv,10,C4,True,99.82478399459018,1.0,0.0006229763524651828
0.97,A_agv,3,C1,False,83.87062206285894,1.0,127.86403060893139
0.97,A_agv,3,C2,False,83.53777470392994,1.0,121.77441311273105
0.97,A_agv,3,C3,False,83.53777470392994,1.0,121.77441311273105
0.97,A_agv,3,C4,False,84.25721468861292,1.0,121.597929209455
0.97,A_agv,5,C1,True,99.77423546630449,1.0,2.403143627702507
0.97,A_agv,5,C2,True,99.80713881108072,1.0,0.19724672360712137
0.97,A_agv,5,C3,True,99.80713881108072,1.0,0.19516515911550136
0.97,A_agv,5,C4,True,99.80713881108072,1.0,0.1970167272391957
0.97,A_agv,7,C1,True,99.84045808548018,1.0,0.6096688800280698
0.97,A_agv,7,C2,True,99.84045808548018,1.0,0.019001819918549084
0.97,A_agv,7,C3,True,99.84045808548018,1.0,0.018314269279924827
0.97,A_agv,7,C4,True,99.84045808548018,1.0,0.018932173306011872
0.97,B_pad,1,C1,True,99.74528604441218,1.0,9.104203851335493
0.97,B_pad,1,C2,True,99.80713881108072,1.0,0.20525949646358999
0.97,B_pad,1,C3,True,99.80713881108072,1.0,0.20325192689010513
0.97,B_pad,1,C4,True,99.80713881108072,1.0,0.20468551353778705
0.97,B_pad,2,C1,True,99.77423546630449,1.0,2.403143627702507
0.97,B_pad,2,C2,True,99.80713881108072,1.0,0.19724672360712137
0.97,B_pad,2,C3,True,99.80713881108072,1.0,0.19516515911550136
0.97,B_pad,2,C4,True,99.80713881108072,1.0,0.1970167272391957
0.97,B_pad,3,C1,True,99.78422275843866,1.0,1.8571290690383007
0.97,B_pad,3,C2,True,99.80713881108072,1.0,0.19716356527218576
0.97,B_pad,3,C3,True,99.80713881108072,1.0,0.1949454650080706
0.97,B_pad,3,C4,True,99.80713881108072,1.0,0.19693176977094098
0.97,B_pad,5,C1,True,99.78422275843866,1.0,1.8107381096813697
0.97,B_pad,5,C2,True,99.80713881108072,1.0,0.1971605276107604
0.97,B_pad,5,C3,True,99.80713881108072,1.0,0.19487277485433516
0.97,B_pad,5,C4,True,99.80713881108072,1.0,0.19692647815706074
0.97,C_workload,105,C1,False,95.43269652589848,1.0,33.39521394970914
0.97,C_workload,105,C2,True,97.73351499344211,1.0,9.58407752720771
0.97,C_workload,105,C3,True,97.73593825677005,1.0,9.583970668208616
0.97,C_workload,105,C4,True,97.86227731560277,1.0,11.721520412802466
0.97,C_workload,45,C1,True,99.82063216398313,1.0,0.5069192303621273
0.97,C_workload,45,C2,True,99.83793203045026,1.0,0.025325978051208006
0.97,C_workload,45,C3,True,99.83793203045026,1.0,0.02474332408345224
0.97,C_workload,45,C4,True,99.83793203045026,1.0,0.025290590983499776
0.97,C_workload,75,C1,True,99.77423546630449,1.0,2.403143627702507
0.97,C_workload,75,C2,True,99.80713881108072,1.0,0.19724672360712137
0.97,C_workload,75,C3,True,99.80713881108072,1.0,0.19516515911550136
0.97,C_workload,75,C4,True,99.80713881108072,1.0,0.1970167272391957
