e_dist_kwh_per_km,p_aux_kw,mean_fleet_min_soc,mean_stops,mean_completion_rate
0.05,0.0,30.22843509729024,0.0,99.7994788087214
0.05,0.05,14.387810097290027,0.0,99.7994788087214
0.05,0.1,1.2033524676981628,38.75,99.7994788087214
0.05,0.2,0.0,804.5,99.7994788087214
0.1,0.0,5.793435097290626,0.0,99.7994788087214
0.1,0.05,0.0,183.375,99.7994788087214
0.1,0.1,0.0,590.875,99.7994788087214
0.1,0.2,0.0,1322.375,99.7994788087214
0.15,0.0,0.0,384.5,99.7994788087214
0.15,0.05,0.0,839.5,99.7994788087214
0.15,0.1,0.0,1194.0,99.7994788087214
0.15,0.2,0.0,1649.25,99.7994788087214
0.2,0.0,0.0,1044.75,99.7994788087214
0.2,0.05,0.0,1344.5,99.7994788087214
0.2,0.1,0.0,1564.0,99.7994788087214
0.2,0.2,0.0,1878.25,99.7994788087214
0.3,0.0,0.0,1750.75,99.7994788087214
0.3,0.05,0.0,1889.375,99.7994788087214
0.3,0.1,0.0,1999.5,99.7994788087214
0.3,0.2,0.0,2173.375,99.7994788087214
