AGV number,Workload,Minimum WPT pads,Minimum WPT power,Completion rate,Mean delay
3,45,1.0,1.0,99.80276773079606,0.46037101235388567
3,75,,,84.25721468861292,121.597929209455
3,105,,,60.52273397613823,458.1502035234581
5,45,1.0,1.0,99.83793203045026,0.026590375269088383
5,75,1.0,1.0,99.80713881108072,0.20468551353778705
5,105,5.0,5.0,99.24631066189262,3.2922371548727978
7,45,1.0,1.0,99.82317856072487,0.0032235045615229534
7,75,1.0,1.0,99.84045808548018,0.02452473981386735
7,105,1.0,3.0,99.81978406543467,0.12247821307417052
10,45,1.0,1.0,99.82693923588702,0.002438499501064993
10,75,1.0,1.0,99.82478399459018,0.007459332577326397
10,105,1.0,1.0,99.80902536999574,0.023204675236902315
