scenario,comparison,metric,mean_difference,median_difference,standard_error,ci95_low,ci95_high,left_better_fraction_percent,p_value,paired_replications,bh_adjusted_p_value
primary,C4_minus_C1,mean_delay,97.32291850055833,94.92686417680389,1.9152967695207574,93.47398554077579,101.17185146034087,0.0,4.735280712662558e-44,50,8.523505282792603e-43
primary,C4_minus_C1,urgent_on_time_rate,5.539323952949847,5.1306554706103515,0.32708067882315217,4.882030720243418,6.196617185656275,100.0,4.0526980239205614e-22,50,2.4316188143523367e-21
primary,C4_minus_C2,mean_delay,49.75276939780389,51.61335495894912,2.9063532119937707,43.91223395263018,55.593304842977595,0.0,2.579172592466464e-22,50,2.321255333219818e-21
primary,C4_minus_C2,urgent_on_time_rate,2.301975764178369,2.078621719650096,0.2660437405162216,1.7673408512437332,2.836610677113005,88.0,1.953726773339574e-11,50,7.033416384022467e-11
primary,C4_minus_C3,mean_delay,-2.6662600436720623,-1.9342112723784624,0.7414271433719349,-4.156213671127773,-1.1763064162163517,70.0,0.0007494380166188303,50,0.0016862355373923681
primary,C4_minus_C3,urgent_on_time_rate,-0.09624594676899205,0.0,0.06384905979179523,-0.2245554362405679,0.03206354270258381,12.0,0.138129350819143,50,0.15539551967153586
primary,C4_minus_C5,mean_delay,28.26017201269566,26.111931917599136,2.3272968228420563,23.58329394806271,32.93705007732861,2.0,2.183979331543483e-16,50,9.827906991945673e-16
primary,C4_minus_C5,urgent_on_time_rate,1.214341187266525,0.7009498853586651,0.19431377358440302,0.8238530396381711,1.604829334894879,78.0,9.64726736275944e-08,50,2.8941802088278316e-07
stress_non_binding,C4_minus_C3,mean_delay,2.1923711482346732e-05,1.0754558239595147e-05,1.8797661941298646e-05,-1.585160447081377e-05,5.9699027435507234e-05,36.0,0.24913851723559025,50,0.26379372413180147
stress_non_binding,C4_minus_C3,urgent_on_time_rate,0.0,0.0,0.0,0.0,0.0,0.0,,50,1.0
stress_near_transition,C4_minus_C3,mean_delay,0.18039925330262485,0.0,0.1131390737377115,-0.04696222763241922,0.4077607342376689,24.0,0.11725673563704203,50,0.15075866010476832
stress_near_transition,C4_minus_C3,urgent_on_time_rate,-0.19479817031242588,0.0,0.0832066868672574,-0.36200826780443307,-0.027588072820418724,6.0,0.023337503768857917,50,0.035006255653286876
stress_transition,C4_minus_C3,mean_delay,-0.6610096448565587,-0.5419255043454463,0.2545124492553416,-1.1724715604212053,-0.14954772929191207,62.0,0.012376249175116302,50,0.024752498350232605
stress_transition,C4_minus_C3,urgent_on_time_rate,-0.09570128803269796,0.0,0.0389685085378965,-0.1740114378183141,-0.017391138247081828,16.0,0.017647651321013383,50,0.030257581136901288
primary,C4_minus_C3,mean_delay,-2.6662600436720623,-1.9342112723784624,0.7414271433719349,-4.156213671127773,-1.1763064162163517,70.0,0.0007494380166188303,50,0.0016862355373923681
primary,C4_minus_C3,urgent_on_time_rate,-0.09624594676899205,0.0,0.06384905979179523,-0.2245554362405679,0.03206354270258381,12.0,0.138129350819143,50,0.15539551967153586
stress_strongly_constrained,C4_minus_C3,mean_delay,-2.001768900693853,-1.3797447692977869,0.8745490353283445,-3.7592409857449587,-0.24429681564274763,66.0,0.026433489416773495,50,0.03660021611553253
stress_strongly_constrained,C4_minus_C3,urgent_on_time_rate,-0.07387342427463114,0.0,0.03031418604856431,-0.13479206189155463,-0.012954786657707648,6.0,0.01849074402810634,50,0.030257581136901288
