scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,weight_id,phase,soc,next_task_energy,idle,deadline
primary,C4,5007,2171,1733,72.20833333333333,79.82496545370796,170.5793783668897,502.51233183406947,167.80904608818872,90.30023094688222,80.4372842347526,9.699769053117784,0.40031998150827736,299.8693150332454,0,3080.0,61.84399999999973,7.008472222222226,85.13872931982823,68.3098099428398,16.828919376988406,80.23353236366768,19.305363498838037,4.9214736620852175,63.38833628075461,118.24823516642809,3.0,6,2099.0852052327177,177,82.48587570621469,56,308,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5008,2196,1809,75.375,82.37704918032787,134.1710741131905,459.5064723071584,131.37595651008508,91.50743099787687,81.44927536231884,8.492569002123142,0.39614300172437955,265.62008691379,0,2770.0,61.77399999999972,7.034861111111114,84.74392713091271,67.54503928235968,17.198887848553028,79.7048727491893,19.201111111111103,4.2024232654713405,63.34261601688833,117.69989879293432,3.0,6,1859.34060839653,156,78.84615384615384,51,277,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5009,2193,1728,72.0,78.79616963064295,191.05302689866122,523.9911172840522,188.09270672762315,95.92274678111588,85.63983786913722,4.07725321888412,0.3945298187631942,344.85377691492215,0,1240.0,61.62799999999973,7.020972222222223,85.85697134335005,68.58147368907467,17.275497654275377,79.87874789434505,19.22611111111109,1.7128082397027684,66.86866544937192,119.24579353243061,3.0,6,2413.9764384044547,66,92.42424242424242,24,124,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5010,2182,1752,73.0,80.29330889092576,161.4587057883747,500.6758146734932,158.7169971135476,90.06928406466513,76.32933104631218,9.930715935334874,0.3992106037797941,313.8924520137758,0,2680.0,61.60399999999973,7.005555555555558,84.59785569498379,67.09662447676119,17.501231218222607,79.31244110805478,19.297222222222196,3.739865650817447,63.35675882594375,117.49702179858859,3.0,6,2197.24716409643,129,75.1937984496124,55,268,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5011,2064,1747,72.79166666666667,84.64147286821705,140.67145045536265,479.6267801483958,137.91163995795765,90.12345679012346,76.37130801687763,9.876543209876543,0.4323918977071595,316.9290532106741,0,2940.0,57.75999999999977,6.591111111111113,79.67448355559165,63.890537618007606,15.78394593758403,80.18945936866847,19.17445386424226,4.101712903888247,59.78882471411936,110.6590049383217,3.0,6,2218.503372474719,128,80.46875,67,294,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5012,2186,1724,71.83333333333333,78.8655077767612,178.43226106881505,532.9009389458939,175.80831768479285,89.56916099773242,74.9570200573066,10.430839002267573,0.3934846135634084,319.97751294763583,0,4090.0,61.94199999999972,7.034027777777778,87.0837547640422,69.55511703305862,17.528637730983565,79.87151819707556,19.39722222222217,6.24162883286238,63.313488200196254,120.94965939450304,3.0,6,2239.842590633451,236,81.35593220338984,86,409,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5013,2066,1732,72.16666666666667,83.83349467570184,134.0311483236167,424.96915370503535,131.29988794187952,90.75829383886256,77.8588807785888,9.24170616113744,0.43051639652605994,307.7416226432199,0,2940.0,58.503999999999756,6.645277777777778,80.4197361508658,64.19559385279436,16.22414229807142,79.82567081837314,19.335921593961917,4.4141497483424805,59.781444104451886,111.6940779873136,3.0,6,2154.191358502539,158,87.34177215189874,61,294,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5014,2139,1742,72.58333333333333,81.43992519869097,154.3101293039642,488.65547452427853,151.69864317962137,92.12410501193318,72.90697674418605,7.875894988066825,0.41601919563217044,317.07516959185807,0,3230.0,60.87799999999972,6.9013888888888895,80.42632540138611,64.32929970674473,16.097025694641374,79.9853771581563,19.226111111111074,4.507094005926577,59.822205700818145,111.70322972414735,3.0,6,2219.5261871430066,138,87.68115942028986,67,323,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5015,2160,1708,71.16666666666667,79.07407407407408,186.09842647557528,530.0078529406284,183.41453693866987,90.33018867924528,75.5184331797235,9.669811320754718,0.40119296055564874,344.72048450820927,0,3250.0,60.75799999999971,6.919305555555554,85.79874787995304,68.41242284430389,17.386325035649154,79.73592218388134,19.21166666666662,4.989912543216058,63.422510301087826,119.1649276110459,3.0,6,2413.0433915574645,155,63.87096774193548,63,325,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
primary,C4,5016,2170,1796,74.83333333333333,82.76497695852535,142.63547046227234,470.12209901690073,139.92800040020634,93.37748344370861,75.65521258008154,6.622516556291391,0.40345533579799214,301.34556179742964,0,2360.0,61.023999999999745,6.95027777777778,83.65851075781194,66.73840390382938,16.92010685398258,79.77479314332334,19.211666666666652,3.3275676614000713,63.410836242429305,116.19237605251658,3.0,6,2109.418932582008,115,80.8695652173913,49,236,nan,nan,0.0,0,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,coarse,0.0,0.0,0.0,1.0
