phase,weight_id,soc,next_task_energy,idle,deadline,mean_delay_difference,worst_delay_degradation,mean_urgent_difference,worst_urgent_degradation,hard_reject
coarse,soc0.75_next_task_energy0.00_idle0.00_deadline0.25,0.75,0.0,0.0,0.25,-0.981781234942258,-5.090708909568698e-05,-0.07062211340666068,-0.1253257012363528,False
local,soc0.75_next_task_energy0.00_idle0.00_deadline0.25,0.75,0.0,0.0,0.25,-0.981781234942258,-5.090708909568698e-05,-0.07062211340666068,-0.1253257012363528,False
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,0.0,0.25,0.25,0.5,-28.23543761389343,-2.4121580425797152e-05,-4.998697740634848,-13.121833158708387,False
coarse,soc0.00_next_task_energy1.00_idle0.00_deadline0.00,0.0,1.0,0.0,0.0,-30.68777058161421,-2.1077618387709273e-05,-4.8986930113292,-11.506710680180458,False
coarse,soc0.25_next_task_energy0.00_idle0.00_deadline0.75,0.25,0.0,0.0,0.75,-1.8471352851166707,-1.5360746827240978e-05,-0.12516466827362885,-0.17958346109446865,False
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,0.0,0.0,0.5,0.5,-34.217723100173636,-8.993984349081885e-06,-4.696086914790792,-10.532456602886475,False
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,0.0,0.0,0.25,0.75,-34.49602502297752,-8.152947839082936e-06,-4.582362274611375,-9.737501838857673,False
coarse,soc1.00_next_task_energy0.00_idle0.00_deadline0.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
coarse,soc0.50_next_task_energy0.00_idle0.00_deadline0.50,0.5,0.0,0.0,0.5,-1.2284733651367514,1.6968198453876094e-06,-0.07788477704541899,-0.19089648153058014,False
local,soc0.75_next_task_energy0.00_idle0.05_deadline0.20,0.75,0.0,0.05,0.2,-0.7319120374260178,5.502119767364644e-06,-0.05703605824576723,-0.09864445498646844,False
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,0.0,0.0,0.75,0.25,-35.21253417723129,1.0331833634227017e-05,-4.7396178949298555,-10.711377177113409,False
coarse,soc0.00_next_task_energy0.00_idle1.00_deadline0.00,0.0,0.0,1.0,0.0,-35.115172410723815,1.638542611380911e-05,-4.358907937804311,-10.369710553028163,False
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,0.0,0.0,0.0,1.0,-37.681134649073535,1.6808714451165552e-05,-4.532174343989238,-12.242814476726972,False
local,soc0.70_next_task_energy0.05_idle0.00_deadline0.25,0.7,0.05,0.0,0.25,-1.9366429017998208,0.014219532498158056,-0.2266922600126418,-0.5160982200772573,False
coarse,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,0.25,0.0,0.75,0.0,-12.63776854758099,0.711948379081174,-3.1283905421284905,-9.504584117506381,False
coarse,soc0.50_next_task_energy0.50_idle0.00_deadline0.00,0.5,0.5,0.0,0.0,-12.569204329469363,0.7698981748387999,-1.2667019604889524,-2.4558330939568918,False
coarse,soc0.25_next_task_energy0.25_idle0.00_deadline0.50,0.25,0.25,0.0,0.5,-13.337600191432523,0.8171967659718942,-1.4461548741958405,-2.9978873918254676,False
coarse,soc0.25_next_task_energy0.75_idle0.00_deadline0.00,0.25,0.75,0.0,0.0,-13.434945555620365,1.0264620350685723,-1.3001997377964944,-2.224729808354051,False
coarse,soc0.25_next_task_energy0.50_idle0.00_deadline0.25,0.25,0.5,0.0,0.25,-15.371141261802947,1.1531137663595628,-1.6402499842163727,-3.0452356387395794,False
coarse,soc0.25_next_task_energy0.25_idle0.50_deadline0.00,0.25,0.25,0.5,0.0,-16.375169753922684,1.2081688014884089,-3.1298112226781596,-8.93427161935294,False
coarse,soc0.50_next_task_energy0.25_idle0.00_deadline0.25,0.5,0.25,0.0,0.25,-9.049028131174582,1.3577868092314163,-1.070351602104497,-2.391626451141353,False
coarse,soc0.75_next_task_energy0.25_idle0.00_deadline0.00,0.75,0.25,0.0,0.0,-7.2388438760721785,1.561261449032345,-0.8715897262821877,-1.9929735590380557,False
coarse,soc0.25_next_task_energy0.50_idle0.25_deadline0.00,0.25,0.5,0.25,0.0,-15.65237417604514,1.691807611095997,-2.2055181379002913,-5.1437850380956345,False
