phase,weight_id,scenario,metric,mean_difference,median_difference,ci95_low,ci95_high,paired_replications,direction,C4_low_soc_stops_total,C4_failure_count_total,soc,next_task_energy,idle,deadline
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,primary,delay,-50.16296067600486,-51.660248067488126,-57.1665676803461,-43.15935367166362,50,negative_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,primary,urgent_on_time,-2.627109439694795,-2.7432906947579623,-3.1433710606273975,-2.110847818762193,50,positive_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,stress_near_transition,delay,-19.390003251626425,-13.702576810763414,-25.3135005284504,-13.466505974802448,50,negative_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,stress_near_transition,urgent_on_time,-6.5574956149208905,-6.80707296739941,-8.278043945030767,-4.836947284811014,50,positive_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,stress_non_binding,delay,1.6808714451165552e-05,3.787331719017073e-05,-5.042195462719069e-05,8.40393835295218e-05,50,negative_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,stress_strongly_constrained,delay,-43.01120168123202,-42.85021476580141,-47.88688026036197,-38.13552310210208,50,negative_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,stress_strongly_constrained,urgent_on_time,-1.2334521886035374,-1.1535055350553507,-1.4795703232045632,-0.9873340540025117,50,positive_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,stress_transition,delay,-75.8415244452188,-75.19758158762096,-79.09238156127456,-72.59066732916303,50,negative_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.00_deadline1.00,stress_transition,urgent_on_time,-12.242814476726972,-12.902246508803886,-13.47629148174657,-11.009337471707374,50,positive_better,0.0,0,0.0,0.0,0.0,1.0
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,primary,delay,-46.80428511940308,-48.140400584515525,-53.59449288876033,-40.01407735004584,50,negative_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,primary,urgent_on_time,-2.2826307178553864,-2.064317917585105,-2.799746901712262,-1.7655145339985105,50,positive_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,stress_near_transition,delay,-16.044178440802046,-11.406682792247308,-21.202234698423762,-10.88612218318033,50,negative_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,stress_near_transition,urgent_on_time,-9.600560861090289,-10.01678378428226,-11.271264906552583,-7.9298568156279945,50,positive_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,stress_non_binding,delay,-8.152947839082936e-06,-6.516180154027273e-05,-8.200865502105159e-05,6.570275934288572e-05,50,negative_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,stress_non_binding,urgent_on_time,-0.00552486187845318,0.0,-0.016627487497952027,0.005577763741045668,50,positive_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,stress_strongly_constrained,delay,-42.93299404792087,-43.33389518738031,-47.48792865151708,-38.37805944432466,50,negative_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,stress_strongly_constrained,urgent_on_time,-1.2855930933750788,-1.072177734225475,-1.5754252258379249,-0.9957609609122327,50,positive_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,stress_transition,delay,-66.69865935381375,-68.10453435630126,-71.11217073786695,-62.285147969760565,50,negative_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.25_deadline0.75,stress_transition,urgent_on_time,-9.737501838857673,-9.572920966563995,-10.968028694903193,-8.506974982812153,50,positive_better,0.0,0,0.0,0.0,0.25,0.75
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,primary,delay,-45.22028217169768,-42.192782195736456,-51.69154846817096,-38.74901587522441,50,negative_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,primary,urgent_on_time,-2.2427547936390457,-2.406122962155819,-2.7470389369743824,-1.738470650303709,50,positive_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,stress_near_transition,delay,-16.932084061835283,-14.121939575018008,-22.268775694529747,-11.59539242914082,50,negative_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,stress_near_transition,urgent_on_time,-9.379662866337735,-9.23618034784535,-11.281008492967594,-7.478317239707877,50,positive_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,stress_non_binding,delay,-8.993984349081885e-06,-3.241634680666017e-05,-8.30315390810529e-05,6.504357038288912e-05,50,negative_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,stress_strongly_constrained,delay,-44.955154420091006,-43.16034178230413,-49.903789525567404,-40.00651931461461,50,negative_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,stress_strongly_constrained,urgent_on_time,-1.3255603110907002,-1.1881933578814876,-1.6117480349885682,-1.039372587192832,50,positive_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,stress_transition,delay,-63.98108585325986,-65.22824730944663,-68.80187131125717,-59.16030039526255,50,negative_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.50_deadline0.50,stress_transition,urgent_on_time,-10.532456602886475,-10.763210711351176,-11.464567023929218,-9.600346181843731,50,positive_better,0.0,0,0.0,0.0,0.5,0.5
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,primary,delay,-45.50091412507913,-45.91491576532195,-51.839476024591534,-39.16235222556672,50,negative_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,primary,urgent_on_time,-2.27753597385891,-2.3346684661935653,-2.7761816104187904,-1.778890337299029,50,positive_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,stress_near_transition,delay,-17.058631460430508,-9.2461115956549,-22.842001336433913,-11.275261584427103,50,negative_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,stress_near_transition,urgent_on_time,-9.422880532727872,-9.064269064269066,-11.203249961648392,-7.642511103807351,50,positive_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,stress_non_binding,delay,1.0331833634227017e-05,-2.5763885772758788e-05,-5.526671187611309e-05,7.593037914456713e-05,50,negative_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,stress_strongly_constrained,delay,-44.49668730950797,-45.60190839500905,-49.88637672476671,-39.106997894249226,50,negative_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,stress_strongly_constrained,urgent_on_time,-1.286295790949089,-1.176475111399891,-1.5620479149503406,-1.0105436669478376,50,positive_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,stress_transition,delay,-69.0064483229725,-71.32691413108539,-72.61600409648196,-65.39689254946305,50,negative_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle0.75_deadline0.25,stress_transition,urgent_on_time,-10.711377177113409,-10.587231968810917,-11.69291718429611,-9.729837169930708,50,positive_better,0.0,0,0.0,0.0,0.75,0.25
coarse,soc0.00_next_task_energy0.00_idle1.00_deadline0.00,primary,delay,-45.91709977962566,-44.8796635364687,-52.75372588348336,-39.080473675767955,50,negative_better,0.0,0,0.0,0.0,1.0,0.0
coarse,soc0.00_next_task_energy0.00_idle1.00_deadline0.00,primary,urgent_on_time,-2.3143552450053892,-2.136168058719311,-2.8014314748536564,-1.827279015157122,50,positive_better,0.0,0,0.0,0.0,1.0,0.0
coarse,soc0.00_next_task_energy0.00_idle1.00_deadline0.00,stress_near_transition,delay,-18.551826457900372,-14.355918219263184,-24.49276670752824,-12.610886208272506,50,negative_better,0.0,0,0.0,0.0,1.0,0.0
coarse,soc0.00_next_task_energy0.00_idle1.00_deadline0.00,stress_near_transition,urgent_on_time,-7.843882267464631,-7.340567672974139,-9.824254783111758,-5.863509751817503,50,positive_better,0.0,0,0.0,0.0,1.0,0.0
