scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,weight_id,phase
primary,C1,5007,2171,1758,73.25,80.9765085214187,164.8237705165933,420.3984467724627,161.83124936744406,95.61200923787528,87.74453394706559,4.387990762124711,0.40394502485860756,301.64938820552686,0,330.0,61.29399999999971,6.97027777777778,83.31170747126176,66.58617105395093,16.72553641731084,79.9241464075379,29.23333333333326,0.0,66.58617105395093,115.7107048211969,0,0,2111.5457174386884,0,0,0,33,0.3,0.7,0.0,0,reference,reference
primary,C1,5008,2196,1824,76.0,83.06010928961749,131.95734699113368,384.10569292002646,129.05840694458044,94.0552016985138,84.52173913043478,5.9447983014862,0.40338556124705693,261.9165394152005,0,320.0,61.28399999999972,7.000833333333338,81.09367713148333,64.53637261569301,16.55730451579032,79.58249631602634,29.222777777777726,0.0,64.53637261569301,112.63010712706019,0,0,1833.4157759064033,0,0,0,32,0.3,0.7,0.0,0,reference,reference
primary,C1,5009,2193,1799,74.95833333333333,82.03374373005016,157.18949019595286,400.39695814253014,154.14438782774934,97.42489270386267,89.57730167921251,2.575107296137339,0.4000629396127065,296.02580555920406,0,330.0,61.44599999999974,7.008333333333335,83.0682784351959,66.55175146685247,16.516526968343413,80.11692636530505,29.172777777777753,0.0,66.55175146685247,115.3726089377721,0,0,2072.180638914428,0,0,0,33,0.3,0.7,0.0,0,reference,reference
primary,C1,5010,2182,1846,76.91666666666667,84.60128322639781,120.28989887526792,364.6559231102309,117.23083243342045,94.91916859122402,88.73642081189251,5.080831408775981,0.4067596415234832,261.62116632721836,0,320.0,61.131999999999735,6.9727777777777815,80.79314067216444,64.54445781009451,16.248682862069916,79.88853666674197,29.247777777777717,0.0,64.54445781009451,112.21269537800616,0,0,1831.3481642905285,0,0,0,32,0.3,0.7,0.0,0,reference,reference
primary,C1,5011,2064,1790,74.58333333333333,86.7248062015504,128.73312182486055,314.39945804045175,125.75266729120507,94.5679012345679,85.17179023508137,5.432098765432099,0.4400775688854298,289.6792826301602,0,300.0,57.231999999999765,6.554444444444448,75.80090528174335,60.53106539578537,15.269839885957989,79.85533308711588,29.208333333333297,0.0,60.53106539578537,105.27903511353244,0,0,2027.7549784111216,0,0,0,30,0.3,0.7,0.0,0,reference,reference
primary,C1,5012,2186,1785,74.375,81.65599268069533,153.17620713426348,407.2901624722571,150.28978538369785,94.5578231292517,82.63610315186246,5.442176870748299,0.4059757628201236,285.950901784723,0,320.0,61.187999999999725,6.981666666666666,80.7882155386577,64.66517258861417,16.12304295004353,80.04282822371718,29.17277777777772,0.0,64.66517258861417,112.20585491480234,0,0,2001.656312493061,0,0,0,32,0.3,0.7,0.0,0,reference,reference
primary,C1,5013,2066,1782,74.25,86.2536302032914,118.02156333653429,318.9874081698227,115.14455929425858,93.8388625592417,84.00243309002433,6.161137440758294,0.4351476528140869,284.9082970587355,0,310.0,57.97799999999976,6.608750000000001,78.08558298170021,62.61081607501657,15.474766906683627,80.18229957979537,29.17277777777772,0.0,62.61081607501657,108.45219858569473,0,0,1994.3580794111485,0,0,0,31,0.3,0.7,0.0,0,reference,reference
primary,C1,5014,2139,1747,72.79166666666667,81.67367928938756,167.68961544866218,405.3696218184998,164.89591974391735,94.27207637231504,79.65116279069767,5.727923627684964,0.4202401689976946,323.28388615397074,0,310.0,60.29399999999974,6.860833333333336,78.29895482516194,62.507438595633595,15.79151622952834,79.83176625436433,29.25833333333328,0.0,62.507438595633595,108.74854836828045,0,0,2262.9872030777956,0,0,0,31,0.3,0.7,0.0,0,reference,reference
primary,C1,5015,2160,1839,76.625,85.13888888888889,125.01063974602909,343.0564167318492,121.99179971448334,95.04716981132076,86.40552995391705,4.952830188679245,0.41129774659961305,266.8127710429595,0,320.0,60.17199999999973,6.878611111111113,80.70593571379499,64.56472839985942,16.14120731393557,79.99997500657618,29.293888888888848,0.0,64.56472839985942,112.09157738027082,0,0,1867.6893973007168,0,0,0,32,0.3,0.7,0.0,0,reference,reference
primary,C1,5016,2170,1843,76.79166666666667,84.93087557603687,124.4732447914034,347.6009589695199,121.58697120913224,94.48123620309052,82.17821782178218,5.518763796909492,0.4148468088830855,264.3236581014011,0,310.0,60.613999999999734,6.921805555555557,77.91720832292489,62.48604279271825,15.43116553020664,80.19543325236607,29.33891630214586,0.0,62.48604279271825,108.21834489295125,0,0,1850.2656067098078,0,0,0,31,0.3,0.7,0.0,0,reference,reference
