scenario,role,n_agvs,n_pads,task_arrival_rate_per_h,wpt_power_kw,distances_m,urgent_ratio,rho_analytical,rho_simulation_based,mean_task_energy_kwh,analytical_demand_kw,simulation_demand_kw,charging_supply_kw,mean_eta,mean_task_distance_m,logistics_utilization,detour_energy_included,rho_region
base,non_binding_reference,5,2,75.0,3.0,30|30|30|30|30,0.0,0.22006827294858977,0.21994356759391287,0.014083333333333333,1.05625,1.0556514583333043,4.7996468816145565,0.7999411469357594,30.0,0.625,False,non_binding
primary_candidate_current,legacy_comparator,5,1,90.0,3.0,20|25|30|35|40,0.2,0.5281638550766155,0.5282342402700274,0.014083333333333331,1.2674999999999998,1.2676689120370357,2.3998234408072783,0.7999411469357594,30.0,0.75,False,non_binding
primary_candidate_60m,candidate,6,1,90.0,3.0,40|50|60|70|80,0.2,1.0094492614777917,1.0100246896124125,0.026916666666666665,2.4225,2.423880925925963,2.3998234408072783,0.7999411469357594,60.0,0.875,False,transition
primary_candidate_70m,candidate_selected_if_rho_valid,7,1,90.0,3.0,50|60|70|80|90,0.2,1.169877730278184,1.1699601148111387,0.031194444444444448,2.8075000000000006,2.807697708333345,2.3998234408072783,0.7999411469357594,70.0,0.8214285714285714,False,moderately_constrained
primary_candidate_75m,candidate,7,1,90.0,3.0,55|65|75|85|95,0.2,1.25009196467838,1.2501780628333041,0.03333333333333334,3.0000000000000004,3.0002066203703976,2.3998234408072783,0.7999411469357594,75.0,0.8571428571428571,False,moderately_constrained
stress_non_binding,stress,5,2,75.0,3.0,30|30|30|30|30,0.2,0.22006827294858977,0.21994356759391287,0.014083333333333333,1.05625,1.0556514583333043,4.7996468816145565,0.7999411469357594,30.0,0.625,False,non_binding
stress_near_transition,stress,7,1,70.0,3.0,45|55|65|75|85,0.2,0.847516052349546,0.8471116630322093,0.029055555555555557,2.033888888888889,2.0329184259259323,2.3998234408072783,0.7999411469357594,65.0,0.611111111111111,False,near_transition
stress_transition,stress,7,1,87.0,3.0,45|55|65|75|85,0.2,1.0533413793487216,1.052959078847737,0.029055555555555557,2.5278333333333336,2.5269158796296383,2.3998234408072783,0.7999411469357594,65.0,0.7595238095238095,False,transition
stress_moderately_constrained,stress,7,1,90.0,3.0,50|60|70|80|90,0.2,1.169877730278184,1.1699601148111387,0.031194444444444448,2.8075000000000006,2.807697708333345,2.3998234408072783,0.7999411469357594,70.0,0.8214285714285714,False,moderately_constrained
primary,primary_selected,7,1,90.0,3.0,50|60|70|80|90,0.2,1.169877730278184,1.1699601148111387,0.031194444444444448,2.8075000000000006,2.807697708333345,2.3998234408072783,0.7999411469357594,70.0,0.8214285714285714,False,moderately_constrained
stress_strongly_constrained,stress,8,1,105.0,3.0,55|65|75|85|95,0.2,1.4584406254581102,1.4575664870768819,0.03333333333333334,3.500000000000001,3.49790222222222,2.3998234408072783,0.7999411469357594,75.0,0.875,False,strongly_constrained
