comparison,metric,mean_difference,median_difference,standard_error,ci95_low,ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,improved_replication_rate,paired_replications
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.25, lambda_kpi=1.5)_minus_baseline",mean_delay,0.022849096782625793,0.0,0.02284909678262579,-0.023067882302508367,0.06876607586775996,0.0,0.06854729034787738,0.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.25, lambda_kpi=1.5)_minus_baseline",urgent_on_time_rate,0.013513513513513544,0.0,0.013513513513513542,-0.013642908609854612,0.0406699356368817,0.0,0.04054054054054063,2.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.0, lambda_kpi=1.5)_minus_baseline",mean_delay,0.013043378990523777,0.0,0.024526996991457467,-0.0362454668046525,0.06233222478570005,-0.024834949930453973,0.06701988919926002,4.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.0, lambda_kpi=1.5)_minus_baseline",urgent_on_time_rate,0.03175759852052437,0.0,0.019435620747299535,-0.007299743651484052,0.0708149406925328,0.0,0.07260596397025637,6.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.5, lambda_kpi=1.5)_minus_baseline",mean_delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.5, lambda_kpi=1.5)_minus_baseline",urgent_on_time_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.5, lambda_kpi=1.25)_minus_baseline",mean_delay,0.683208410088793,0.0,0.5115304483250869,-0.3447505119029195,1.7111673320805054,-0.21672218283298245,1.7198570526195545,24.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.5, lambda_kpi=1.25)_minus_baseline",urgent_on_time_rate,-0.013965590991693233,0.0,0.592143532613769,-1.2039225709585533,1.175991388975167,-1.2116323788645658,1.0630789115249444,26.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.5, lambda_kpi=1.0)_minus_baseline",mean_delay,0.6257460370005673,0.0,0.492189366825369,-0.36334552655001373,1.6148376005511484,-0.24572704645862598,1.640201349080943,26.0,50
"C5_C5Parameters(lambda_soc=2.0, lambda_task=1.5, lambda_kpi=1.0)_minus_baseline",urgent_on_time_rate,-0.5527556712062723,0.0,0.6186660329853406,-1.7960116111465938,0.6905002687340492,-1.7861265919395182,0.6360320421954313,16.0,50
