lambda_soc,lambda_task,lambda_kpi,effective_soc_shortage_coefficient,effective_soc_risk_coefficient,effective_task_scale,effective_kpi_risk_coefficient,mean_delay,mean_delay_std,urgent_on_time_rate,urgent_on_time_std,completion_rate,wpt_loss_kwh,fleet_min_soc,critical_soc_event_count,safety_violation_count,mean_solver_time,max_solver_time,solver_calls,infeasible_count,simulation_failure_count
0.5,0.5,0.5,100.0,3.0,0.5,15.0,11.055591232741907,14.03495745994938,80.80361657034868,11.765162066710925,95.50062881481884,7.579699712485292,20.08148275054256,37,0,0.0031791330468442782,0.07979695900576189,12824,0,0
0.5,0.5,1.0,100.0,3.0,0.5,30.0,9.664969853791332,12.15426434338363,80.60478056617752,13.325384321060337,96.42035029539207,7.589435159374307,20.709440816053807,28,0,0.0028735382867754893,0.052861834003124386,12805,0,0
0.5,0.5,2.0,100.0,3.0,0.5,60.0,10.80674145560222,14.878906108785191,80.57904038267819,12.75845621683577,96.12375661420538,7.5248983188747145,20.857684517588204,28,0,0.002844587000940355,0.06041699997149408,12858,0,0
0.5,1.0,0.5,100.0,3.0,1.0,15.0,11.029688798995924,14.045392720278942,80.82818659491869,11.773471157788567,95.510062777083,7.562918961494292,20.055502224087334,35,0,0.003146117051351308,0.06617725000251085,12835,0,0
0.5,1.0,1.0,100.0,3.0,1.0,30.0,9.710875342748018,12.160341737597548,80.60478056617752,13.325384321060337,96.40189159673032,7.604177984229006,20.704125356523388,28,0,0.0028504382152041113,0.04267954098759219,12800,0,0
0.5,1.0,2.0,100.0,3.0,1.0,60.0,10.80674145560222,14.878906108785191,80.57904038267819,12.75845621683577,96.12375661420538,7.5248983188747145,20.857684517588204,28,0,0.0027879690371949706,0.060280832985881716,12858,0,0
0.5,2.0,0.5,100.0,3.0,2.0,15.0,10.9937130020711,14.141190204786684,81.2064754242326,12.147027471903497,95.67982609895478,7.373529095384738,20.077855768681694,33,0,0.003177665589751243,0.046042083005886525,12949,0,0
0.5,2.0,1.0,100.0,3.0,2.0,30.0,10.94308812271345,14.724261953996292,81.39276731259383,11.679672920631303,95.68551784580782,7.717088294162387,20.70715765225837,29,0,0.00291607746804277,0.08192895801039413,12938,0,0
0.5,2.0,2.0,100.0,3.0,2.0,60.0,10.832787633751632,14.859860630050745,80.57904038267819,12.75845621683577,96.10966549161262,7.628997485761801,20.852950110210237,28,0,0.002791042174693897,0.06092933303443715,12857,0,0
1.0,0.5,0.5,200.0,6.0,0.5,15.0,10.827701919619772,14.196625582609576,81.3293255470827,12.17664368155198,95.7505808159359,7.344789812117492,20.42526050694834,32,0,0.003175488628422131,0.07280483399517834,12974,0,0
