Scenario,Strategy,n,Mean delay [min] mean,Mean delay [min] std,Mean delay [min] CI95 half-width,Mean delay [min],Urgent on-time [%] mean,Urgent on-time [%] std,Urgent on-time [%] CI95 half-width,Urgent on-time [%],Completion [%] mean,Completion [%] std,Completion [%] CI95 half-width,Completion [%],WPT loss [kWh] mean,WPT loss [kWh] std,WPT loss [kWh] CI95 half-width,WPT loss [kWh]
Base Case,C1,50,1.1039496775006503,0.4483146006235316,0.1274111697672104,1.10 ± 0.13,100.0,0.0,0.0,100.00 ± 0.00,99.77405654109981,0.1320051597473344,0.03751591359131064,99.77 ± 0.04,5.117809152156408,0.2231990542001177,0.0634332509961071,5.12 ± 0.06
Base Case,C2,50,0.19795437157037296,0.037105223350976435,0.010545317741260666,0.20 ± 0.01,100.0,0.0,0.0,100.00 ± 0.00,99.79800932390982,0.09813808758658234,0.027890879575932975,99.80 ± 0.03,9.206596644985785,0.2620795825787427,0.07448311106088726,9.21 ± 0.07
Base Case,C3,50,0.1979253655913179,0.037139683970879724,0.010555111461756663,0.20 ± 0.01,100.0,0.0,0.0,100.00 ± 0.00,99.79800932390982,0.09813808758658234,0.027890879575932975,99.80 ± 0.03,9.184132405128516,0.25887054801426634,0.07357110229045088,9.18 ± 0.07
Base Case,C4,50,0.1979488245531786,0.037125906520099304,0.010551195905319504,0.20 ± 0.01,100.0,0.0,0.0,100.00 ± 0.00,99.79689882973993,0.09931843722092845,0.028226335363982637,99.80 ± 0.03,9.182997900431126,0.25678692776377543,0.0729789366703786,9.18 ± 0.07
Base Case,C5,50,0.19821091656831732,0.03697860966516686,0.01050933408648989,0.20 ± 0.01,100.0,0.0,0.0,100.00 ± 0.00,99.79689882973993,0.09931843722092845,0.028226335363982637,99.80 ± 0.03,8.979505669701119,0.2732144033459463,0.07764763110356368,8.98 ± 0.08
Primary Challenge,C1,50,6.247067823255611,4.807713114263771,1.3663537858047459,6.25 ± 1.37,55.200915369468994,9.403008848758065,2.672338476340962,55.20 ± 2.67,99.55159225971862,0.28717967879728856,0.08161656737934428,99.55 ± 0.08,7.0099978158916585,0.5052021626017718,0.14357863521841663,7.01 ± 0.14
Primary Challenge,C2,50,4.783119027270716,5.373081735621198,1.5270317501106976,4.78 ± 1.53,72.36510106903131,10.929297146135964,3.1061101560954283,72.37 ± 3.11,98.54145384102075,1.6154196699430838,0.45910284770146703,98.54 ± 0.46,8.054843610628168,0.7339797830162463,0.20859731672695064,8.05 ± 0.21
Primary Challenge,C3,50,7.350139897982031,12.88633559399129,3.662301182606388,7.35 ± 3.66,84.9037054741638,8.009185499241422,2.276213382124155,84.90 ± 2.28,97.00048332030472,4.7074178426020685,1.3378498337434823,97.00 ± 1.34,7.109698754669088,1.6338081184816626,0.46432885134990026,7.11 ± 0.46
Primary Challenge,C4,50,7.530566597455914,11.574679413541348,3.289528027212648,7.53 ± 3.29,83.33134757374641,9.285093601662286,2.6388269209622894,83.33 ± 2.64,96.79067581370762,4.184616284927521,1.189269444153696,96.79 ± 1.19,7.496636448921557,1.5609056215270247,0.4436099356531507,7.50 ± 0.44
Primary Challenge,C5,50,7.633001785390594,11.179955361212146,3.177347310429012,7.63 ± 3.18,82.08740416608525,10.259038246391826,2.915622337174276,82.09 ± 2.92,96.68727245408829,3.8411715435575053,1.0916623258767324,96.69 ± 1.09,7.627499760556543,1.505186083121513,0.42777442291887585,7.63 ± 0.43
