scenario,strategy,metric,mean,std,count,ci95
Base Case,C1,mean_delay,1.1039496775006503,0.4483146006235316,50,0.1274111697672104
Base Case,C2,mean_delay,0.19795437157037296,0.037105223350976435,50,0.010545317741260666
Base Case,C3,mean_delay,0.1979253655913179,0.037139683970879724,50,0.010555111461756663
Base Case,C4,mean_delay,0.1979488245531786,0.037125906520099304,50,0.010551195905319504
Base Case,C5,mean_delay,0.19821091656831732,0.03697860966516686,50,0.01050933408648989
Base Case,C1,completion_rate,99.77405654109981,0.1320051597473344,50,0.03751591359131064
Base Case,C2,completion_rate,99.79800932390982,0.09813808758658234,50,0.027890879575932975
Base Case,C3,completion_rate,99.79800932390982,0.09813808758658234,50,0.027890879575932975
Base Case,C4,completion_rate,99.79689882973993,0.09931843722092845,50,0.028226335363982637
Base Case,C5,completion_rate,99.79689882973993,0.09931843722092845,50,0.028226335363982637
Primary Challenge,C1,mean_delay,6.247067823255611,4.807713114263771,50,1.3663537858047459
Primary Challenge,C2,mean_delay,4.783119027270716,5.373081735621198,50,1.5270317501106976
Primary Challenge,C3,mean_delay,7.350139897982031,12.88633559399129,50,3.662301182606388
Primary Challenge,C4,mean_delay,7.530566597455914,11.574679413541348,50,3.289528027212648
Primary Challenge,C5,mean_delay,7.633001785390594,11.179955361212146,50,3.177347310429012
Primary Challenge,C1,urgent_on_time_rate,55.200915369468994,9.403008848758065,50,2.672338476340962
Primary Challenge,C2,urgent_on_time_rate,72.36510106903131,10.929297146135964,50,3.1061101560954283
Primary Challenge,C3,urgent_on_time_rate,84.9037054741638,8.009185499241422,50,2.276213382124155
Primary Challenge,C4,urgent_on_time_rate,83.33134757374641,9.285093601662286,50,2.6388269209622894
Primary Challenge,C5,urgent_on_time_rate,82.08740416608525,10.259038246391826,50,2.915622337174276
Primary Challenge,C1,completion_rate,99.55159225971862,0.28717967879728856,50,0.08161656737934428
Primary Challenge,C2,completion_rate,98.54145384102075,1.6154196699430838,50,0.45910284770146703
Primary Challenge,C3,completion_rate,97.00048332030472,4.7074178426020685,50,1.3378498337434823
Primary Challenge,C4,completion_rate,96.79067581370762,4.184616284927521,50,1.189269444153696
Primary Challenge,C5,completion_rate,96.68727245408829,3.8411715435575053,50,1.0916623258767324
stress_w105_p1_kw1,C4_vs_C3,paired_C3_minus_C4_delay_min,14.531040915382253,9.334315552951724,50,2.6528158171153247
stress_w105_p1_kw1,C4_vs_C3,paired_C4_minus_C3_urgent_pp,-0.9904690181371868,0.8676159503704604,50,0.24657676326321273
stress_w105_p1_kw3,C4_vs_C3,paired_C3_minus_C4_delay_min,12.119041811497983,6.596449502128849,50,1.8747133066994166
