phase,w1,w2,w3,w4,w5,mean_delay,mean_delay_std,urgent_on_time_rate,urgent_on_time_std,completion_rate,wpt_loss_kwh,fleet_min_soc,critical_soc_event_count,safety_violation_count,mean_solver_time,max_solver_time,solver_calls,infeasible_count,simulation_failure_count
local,0.5,0.1,0.06,0.04,0.3,13.891942480541683,17.98904840686395,79.65227063856454,12.238343209017682,95.40305175306098,7.12439716487545,21.83478204341877,126,0,0.0,0.0,0,0,0
local,0.5,0.125,0.075,0.05,0.25,13.50488000740135,17.534538960912847,79.77051254195045,12.144396296801746,95.5012569619418,7.218645111302599,21.628341031302355,127,0,0.0,0.0,0,0,0
local,0.5,0.15,0.09,0.06,0.2,13.621510138957849,17.529897501281653,79.34283319354589,12.433321074811872,95.45742595842579,7.227299031920534,21.61259924792175,136,0,0.0,0.0,0,0,0
local,0.5,0.175,0.105,0.07,0.15,13.462049457813457,17.31777311331136,79.11602218995272,12.504276248668946,95.54566730882851,7.256720739198613,21.5272596432251,137,0,0.0,0.0,0,0,0
local,0.5,0.2,0.12,0.08,0.1,13.529268693603196,16.649701650983364,78.56141524233871,13.046969878219896,95.63301766090133,7.162917144888106,21.303753113981955,146,0,0.0,0.0,0,0,0
local,0.55,0.075,0.045,0.03,0.3,13.665208214101932,18.128345894291144,80.11316398764116,12.005095151959738,95.45620973337624,7.135495775535628,21.90677160350354,126,0,0.0,0.0,0,0,0
local,0.55,0.1,0.06,0.04,0.25,13.787189445572436,17.831409568291924,79.78328073204656,12.03086382095875,95.34092123910567,7.144888097401918,21.971205352549113,120,0,0.0,0.0,0,0,0
local,0.55,0.125,0.075,0.05,0.2,13.686347599793917,17.66208611769735,79.81295214721322,11.955685881770297,95.35848498075515,7.241904022022267,21.76607266696328,127,0,0.0,0.0,0,0,0
local,0.55,0.15,0.09,0.06,0.15,13.85113424702132,17.38738426740293,79.24685226779027,12.385430225507246,95.37915758711232,7.241567671316618,21.66287857339697,134,0,0.0,0.0,0,0,0
local,0.55,0.175,0.105,0.07,0.1,13.359315016382942,17.220391386421724,79.17898534033534,12.814053281924688,95.73443734598686,7.193070543450294,21.501884151593455,130,0,0.0,0.0,0,0,0
local,0.6,0.05,0.03,0.02,0.3,13.762876072739445,18.173013886140577,80.35318754531458,11.74553101946928,95.36992011664209,7.107996896525918,22.31551024094469,120,0,0.0,0.0,0,0,0
local,0.6,0.075,0.045,0.03,0.25,13.852512762534147,18.25220569899698,80.13310481023791,11.842629760101497,95.34635313603621,7.108209821280463,22.044091789659078,121,0,0.0,0.0,0,0,0
local,0.6,0.1,0.06,0.04,0.2,13.626387968966087,17.832315727366932,79.96309817340133,11.872244761414345,95.37037959886052,7.182170586600802,21.984309463038475,128,0,0.0,0.0,0,0,0
local,0.6,0.125,0.075,0.05,0.15,13.678873731845467,17.72136770762884,79.68569720399455,12.302058620532659,95.49566169697478,7.224927072777617,21.899212264080056,130,0,0.0,0.0,0,0,0
local,0.6,0.15,0.09,0.06,0.1,13.551947290993926,17.585007239137486,79.67498480982765,12.25778152375616,95.49807975174683,7.26179234008234,21.809905521898763,143,0,0.0,0.0,0,0,0
local,0.65,0.05,0.03,0.02,0.25,13.61303152431617,18.41089967018412,80.60614305233891,11.688271895992882,95.39033293118266,7.1360586858995285,22.404348068076544,129,0,0.0,0.0,0,0,0
local,0.65,0.075,0.045,0.03,0.2,13.631430861317712,17.783017628901447,80.25368101655835,11.937419198731357,95.40110891631832,7.112939589060873,22.129156806662944,125,0,0.0,0.0,0,0,0
local,0.65,0.1,0.06,0.04,0.15,14.14968595891519,18.450986380766714,79.86418732931071,11.910235909626973,95.26483933246222,7.184638669759446,22.041337340871664,132,0,0.0,0.0,0,0,0
local,0.65,0.125,0.075,0.05,0.1,13.64896685668575,17.925881612207526,80.06598920669776,11.935587148540812,95.39700218772056,7.092124181777715,21.880340351300983,123,0,0.0,0.0,0,0,0
local,0.7,0.05,0.03,0.02,0.2,13.699563393385006,18.12037216528428,80.48065917879121,11.69668260206261,95.363945211991,7.148721526927193,22.410311483452052,131,0,0.0,0.0,0,0,0
local,0.7,0.075,0.045,0.03,0.15,13.887049676693469,18.093143665853777,80.1498635278697,11.830891155274571,95.34759793803013,7.158850536900935,22.16078024953929,125,0,0.0,0.0,0,0,0
local,0.7,0.1,0.06,0.04,0.1,13.625758215936095,17.82201632181095,79.96883591410224,11.917465010391272,95.4290603500846,7.1734124718692485,22.104358024629068,132,0,0.0,0.0,0,0,0
