scenario,strategy,throughput_mean,throughput_std,throughput_median,throughput_p5,throughput_p95,completion_rate_mean,completion_rate_std,completion_rate_median,completion_rate_p5,completion_rate_p95,mean_delay_mean,mean_delay_std,mean_delay_median,mean_delay_p5,mean_delay_p95,max_delay_mean,max_delay_std,max_delay_median,max_delay_p5,max_delay_p95,mean_tardiness_mean,mean_tardiness_std,mean_tardiness_median,mean_tardiness_p5,mean_tardiness_p95,urgent_on_time_rate_mean,urgent_on_time_rate_std,urgent_on_time_rate_median,urgent_on_time_rate_p5,urgent_on_time_rate_p95,urgent_deadline_violation_rate_mean,urgent_deadline_violation_rate_std,urgent_deadline_violation_rate_median,urgent_deadline_violation_rate_p5,urgent_deadline_violation_rate_p95,normal_deadline_violation_rate_mean,normal_deadline_violation_rate_std,normal_deadline_violation_rate_median,normal_deadline_violation_rate_p5,normal_deadline_violation_rate_p95,charging_wait_mean,charging_wait_std,charging_wait_median,charging_wait_p5,charging_wait_p95,low_soc_stops_mean,low_soc_stops_std,low_soc_stops_median,low_soc_stops_p5,low_soc_stops_p95,wpt_loss_mean,wpt_loss_std,wpt_loss_median,wpt_loss_p5,wpt_loss_p95,pad_utilization_mean,pad_utilization_std,pad_utilization_median,pad_utilization_p5,pad_utilization_p95,charging_contention_events_mean,charging_contention_events_std,charging_contention_events_median,charging_contention_events_p5,charging_contention_events_p95,different_decision_rate_C4_vs_C3_mean,different_decision_rate_C4_vs_C3_std,different_decision_rate_C4_vs_C3_median,different_decision_rate_C4_vs_C3_p5,different_decision_rate_C4_vs_C3_p95
base_original,C1,74.54166666666667,1.606371066888078,74.625,72.0375,76.7625,99.74621325107404,0.1274221828957781,99.77477220415074,99.52771355560964,99.94363958568407,3.4269761945868296,2.644207444299059,2.604300084321955,0.8753071350294042,9.670154934374807,142.24851581122385,33.40238786562185,134.7773989015402,97.83886331198838,195.52063593769893,2.4677294491812996,2.4231496922430393,1.5557604771207443,0.2798664217942058,8.257423021601904,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,11.941686792245916,5.8511292729609155,12.61971830985915,2.48542993522913,21.447097012332804,11.997704537343033,10.065659533901735,8.963129020070301,0.0,34.928629588535514,0.0,0.0,0.0,0.0,0.0,5.132823297132949,2.906232922514573,4.142631608665122,2.3268480442627086,12.158300031281263,16.527185992465274,2.818274218361447,15.425872007494585,13.794956185128914,22.267344063075395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_original,C2,74.56333333333333,1.618133495441674,74.66666666666667,72.0375,76.875,99.77486335437919,0.1131253556536561,99.77728285077951,99.56161968447954,99.94428968060267,0.20494542546424177,0.03714930940401446,0.20230593679965236,0.1504938831982735,0.25714089752323127,3.4530571132386365,0.7268066305175739,3.414814823981942,2.3125100274451684,4.676392225710618,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.915949294731642e-17,4.284909767864537e-16,0.0,0.0,4.7369515717340015e-17,0.0,0.0,0.0,0.0,0.0,9.635917750077493,0.3836789330178211,9.679417027162298,9.034726848202192,10.152108636582392,32.20534590040108,1.0030774397534605,32.21381837115031,30.567243756105437,33.863274612296934,278.26,40.17909396485609,280.0,215.65,349.44999999999993,34.14318837226207,5.535441468705044,33.41936993137867,27.169351493362832,43.56181318681318
base_original,C3,74.56333333333333,1.618133495441674,74.66666666666667,72.0375,76.875,99.77486335437919,0.1131253556536561,99.77728285077951,99.56161968447954,99.94428968060267,0.20497328251566027,0.03716850958831648,0.20257234945640773,0.15065230023787496,0.25681405502666316,3.4530571132386365,0.7268066305175739,3.414814823981942,2.3125100274451684,4.676392225710618,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.542233338928782e-17,2.315615091126326e-16,0.0,0.0,2.936909974475076e-16,0.0,0.0,0.0,0.0,0.0,9.643089479401793,0.3939317450292844,9.669757971791253,9.08557303346985,10.209160055289235,32.1590289976005,1.0035512192431941,32.13686890622306,30.53787415414009,33.85558875835762,294.5,39.492830659113146,295.5,237.05,360.5,56.66879669460724,5.463857317623563,57.47423170546174,47.72210496693401,64.10583852943559
base_original,C4,74.56333333333333,1.618133495441674,74.66666666666667,72.0375,76.875,99.77486335437919,0.1131253556536561,99.77728285077951,99.56161968447954,99.94428968060267,0.20491250278603132,0.0371082880017619,0.20244041977044525,0.15076587720307746,0.25681780723390757,3.4530571132386365,0.7268066305175739,3.414814823981942,2.3125100274451684,4.676392225710618,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1605531350748305e-17,5.426807045784358e-17,0.0,0.0,4.204044519913923e-17,0.0,0.0,0.0,0.0,0.0,9.144803479731586,0.3878284599041298,9.102120992812264,8.519617130370342,9.81476926749666,31.824983929737968,0.987501585222962,31.827430709878048,30.266924464096128,33.67312802063087,278.3,37.616350114257074,276.5,222.45,336.15,51.81138046445562,5.345967734012995,52.230466981200976,41.45841945707593,58.9698586709259
challenge_primary,C1,87.6125,2.383885841719188,87.45833333333334,83.3125,91.01666666666667,97.70986945029675,2.7095753755982765,99.15219314495701,92.51746182804574,99.77282961036948,38.95400845611434,27.745859724084408,31.829837716618066,6.914020413475917,96.9453375434619,325.86733865918046,77.50920464540596,311.3510495883647,224.18835898406041,465.3193996807544,36.12426957741188,27.344000165737498,28.744684706588515,5.2648035181072625,93.70251235839308,37.85862376846589,9.755411898342262,36.059381372380415,24.156402737047898,55.79942429817793,62.14137623153411,9.755411898342262,63.940618627619585,44.20057570182207,75.8435972629521,52.33394151541047,15.355843766919524,56.32341443147877,25.91364624563325,71.91324055719159,104.99543376843407,42.406942258825836,98.13041929154211,45.092294538401255,180.66814035353556,0.0,0.0,0.0,0.0,0.0,9.697481527911625,3.6108311274043885,9.732172553469223,4.891530535811217,15.791523986721211,55.286684342493466,6.823242352768439,54.37108652153863,45.49615770225986,65.80054542304853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
challenge_primary,C2,88.81666666666666,1.8400849704328042,88.72916666666666,86.43541666666667,91.66041666666666,99.03658041787325,1.1605518807747932,99.66972679249987,96.65465271615915,99.88663631399186,4.012084485594416,4.699941078584521,2.203636042901778,0.48597900294003615,10.761643159136685,165.06498059057125,80.98063447171229,152.8239603334198,78.29328009591336,310.0817953654763,2.8405871641539786,4.276749172084261,1.0653449473415166,0.05205932572254638,8.794765856828354,72.59115278342908,12.162063095268273,73.52481733434115,55.82952815829528,90.35837438423644,27.40884721657092,12.162063095268268,26.475182665658853,9.64162561576355,44.17047184170472,13.600512135899821,12.25796919313147,8.215419698637294,0.05858230814294041,33.67522891906298,25.505780584246764,26.48214567374059,17.17112403689418,0.0,76.93466471889894,0.0,0.0,0.0,0.0,0.0,8.65608947503589,3.1396595630148507,7.721832017829263,5.769743438233018,15.053167023435627,55.954634627709154,6.864056846177798,55.20358563697971,45.73208900034066,70.12716272102847,535.74,107.99127137818849,534.0,386.0,694.85,17.23898048964643,4.512009738376229,16.832103937103483,10.861926447632042,25.236772193335103
challenge_primary,C3,87.32416666666666,3.0048063586252063,87.875,81.14583333333333,90.725,97.41822728622851,4.138386495095949,99.71590488831868,88.54504927900366,99.93180807039745,6.073480796758625,10.885657103379476,0.5137655831977338,0.3668503238179279,31.021684686309058,141.88770872635132,203.22481494709243,5.9562211256102575,3.6605550651286225,498.7604047733393,5.459050589430144,10.56983293005967,0.025043376115170393,0.008157530239979246,29.67981936861783,85.2878906613483,7.840588108378078,87.43864346273985,67.46914446002805,92.99548440065682,14.712109338651699,7.840588108378076,12.56135653726015,7.004515599343183,32.53085553997193,3.5606416180659437,6.525393511536348,0.14719884221350843,0.0,18.606695836580993,54.859611256030846,81.81502853364753,0.0,0.0,197.24320295998254,0.0,0.0,0.0,0.0,0.0,6.998926564967207,2.0938243116329485,6.029879268774907,5.6190532685834675,12.70513672068078,48.662987162800746,11.127299619512845,42.45013280112172,39.531726759579875,68.18932192171053,667.64,81.18227412836538,692.0,518.4,754.1,57.80580302251833,2.6064418432150873,57.96896989111917,53.02700544464609,61.69013451216857
challenge_primary,C4,87.615,2.8283464516911017,88.33333333333333,81.89166666666667,90.875,97.73662208548744,3.837399504675007,99.71590488831868,89.04361848485532,99.93180807039745,5.168601722597304,9.937659945566981,0.5219464078904339,0.3668503238179279,30.47695731130939,127.31006395767515,179.5970471742141,6.178811092501231,3.6605550651286225,454.06520980152214,4.5444914262448775,9.629219903978525,0.02618323620977247,0.008157530239979246,28.900293977777633,84.96965066547682,8.065635732756931,87.09538447207862,65.87949176096883,92.99548440065682,15.030349334523185,8.065635732756931,12.904615527921383,7.004515599343183,34.12050823903117,3.579730517519928,6.496150956958627,0.14719884221350843,0.0,18.29824318458832,42.811345025060255,68.63909981717929,0.0,0.0,180.61662653355674,0.0,0.0,0.0,0.0,0.0,6.235318278489111,2.2797498086070673,5.17282537938981,4.686872840839344,11.367855358763965,48.36694547902396,10.265866655611754,42.64004860261501,39.531726759579875,67.09788479436818,662.56,86.64828271788878,692.0,498.05,754.1,50.07579384087505,2.552099230447682,50.2626329787234,45.01985959447794,53.474597776988276
stress_w105_p1_kw1,C1,57.84083333333333,5.474020597537751,59.35416666666667,47.50625,64.2125,55.21864268327797,5.260645422513923,56.550861648684744,44.73600083142798,61.039673707405015,541.3796553780437,110.36496636984398,503.24478411645566,416.26842988907424,735.3207961399471,1955.158775922104,274.8984209138288,1923.7778289693342,1521.0892264757977,2432.0577867579436,537.633005934812,110.35376403606351,499.30239244254983,412.43384367495486,731.4778436539667,18.056766874844232,3.637349141465046,17.549403107389978,12.00123051186881,23.552334885074192,81.94323312515577,3.637349141465048,82.45059689261004,76.4476651149258,87.9987694881312,73.84789569676526,3.4270068849608095,73.95862167598591,69.10322903420817,79.08557457212713,1011.3552491104736,187.1692046013778,1002.807858155988,754.6307498011547,1338.2462584459831,0.0,0.0,0.0,0.0,0.0,11.801751489579162,4.008258214909007,11.637456511923437,5.189451698766075,17.228962907935955,205.64415471961368,20.16208900768827,206.27476479869983,170.8837950376495,238.39434451777487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw1,C2,59.025,4.894153170955215,60.29166666666667,50.606249999999996,66.04791666666667,56.34475441820919,4.700414949262091,57.26396686524524,48.6919826434381,63.988471567481476,512.3049152569637,97.4813875878735,487.245324999453,365.0204680336402,666.2996816795966,1874.9803571084071,257.6159004476552,1866.5945910117653,1508.5293232004797,2367.504238095311,508.6127449682468,97.4273138205354,483.46612957256457,361.43899631685986,662.7003521820293,19.111254452800175,4.066651226940923,18.305281459156195,13.292043136111921,24.977364185110662,80.88874554719982,4.066651226940924,81.69471854084381,75.02263581488934,86.70795686388809,72.30581940421634,3.9543668075253446,72.75963400788086,65.1915721354677,77.39177150166695,972.0143352065268,167.0557976805253,977.1623762079976,738.5866723175624,1223.4913441518845,0.0,0.0,0.0,0.0,0.0,11.20749448998774,3.742561518392777,11.084822676181247,6.329574645022159,17.2726202439122,204.07898203613107,18.862638879448145,204.9406029303487,176.4249668588393,236.18574486355016,99.56,28.411092975836613,99.0,58.45,143.54999999999995,21.78641586532612,7.459116586095918,20.833333333333336,10.633050351288057,36.07515519746401
stress_w105_p1_kw1,C3,56.36,4.729883108247716,56.75,48.606249999999996,62.78958333333333,53.79894636389252,4.503136953404524,55.01089051760914,45.95047401111474,59.38505197581013,556.7238688841545,102.51651078815149,547.5613901014864,420.8283874252639,745.0074471949463,1941.3725408809378,289.8030865402479,1847.3136758612961,1541.7074715673455,2511.846126156662,553.1467314540027,102.5205631537655,544.0023186579756,417.16071471638963,741.4509074843116,21.32876642238404,4.376599308522972,21.015894373896224,14.48547749917613,28.141720171214555,78.67123357761596,4.376599308522971,78.98410562610377,71.85827982878544,85.51452250082387,69.43356676840136,4.3830673885636315,69.03388619387923,62.1976186296729,75.53422049813682,1031.6106655168708,196.52623309112627,997.7428607291,796.9600487769691,1401.870126855872,0.0,0.0,0.0,0.0,0.0,11.495873527055267,4.020402630072123,10.588164014732655,6.072379998828185,19.412694263434872,205.28197107946798,20.948705755879548,199.8068243957647,175.140299124431,245.73981410029492,110.58,28.9968963856479,111.0,65.5,164.99999999999994,27.657001447717413,11.234644662133684,26.08827314709668,8.792509685751183,48.48089468779124
stress_w105_p1_kw1,C4,57.375,3.740539843658328,57.91666666666667,49.264583333333334,62.22708333333333,54.78120886350835,3.757634329349648,55.14902158243608,47.27456723470057,60.01857414123358,536.9429056297952,91.53249984671544,509.51576727321935,414.4421237387196,701.3984157101248,1870.3445472855717,260.7156049424897,1799.5625031021355,1559.3704002657469,2315.9248911689547,533.3425985045744,91.4554359742797,506.0132277210556,410.9181900687983,697.4802979401926,20.81326886192224,4.270827825243305,20.935459158840132,14.284290311687572,26.869162649022652,79.18673113807776,4.270827825243305,79.06454084115987,73.13083735097734,85.71570968831242,69.80800871453333,4.2847254337058684,69.77445388176355,62.894393659249296,75.73355183747748,983.2368988445965,179.5272783073158,912.0137421940667,805.5479691784568,1324.1975177494805,0.0,0.0,0.0,0.0,0.0,10.72358820867932,3.7775687214325133,9.81396220590888,6.449341450324905,17.19558693206562,201.18137484549413,19.918351225930667,196.66860098648772,179.99712286997854,236.79450198283817,107.54,30.187989232102737,110.0,59.9,161.89999999999995,26.396976786844235,11.036886914076794,24.59512195121951,10.559180918091808,46.51521298174442
stress_w105_p1_kw3,C1,93.61666666666666,3.4573855352316496,94.375,87.1125,97.96249999999999,89.36827977239236,3.4048634668188167,89.85526216188939,83.77721502377375,94.4894027119934,93.39040145370181,36.525136338963364,91.7888088519066,41.930389435738306,153.99275147448975,357.20287174532496,81.96286573219977,341.70882489902556,256.29025865677846,504.28305133032245,89.65637203399255,36.52003161396126,88.10919586979847,38.210637389894714,150.11822228019565,18.261320074448896,3.693893151274185,17.85423928179137,12.00123051186881,23.723883841735507,81.73867992555111,3.6938931512741826,82.14576071820863,76.27611615826449,87.9987694881312,73.36341170406104,3.886800498422796,73.78150924319627,66.52994016227835,79.08557457212713,113.6862166257345,40.323332500680245,112.99492381493263,68.11939793568145,192.85847440527198,0.0,0.0,0.0,0.0,0.0,10.871546183548187,4.11241606402772,10.065924502718042,5.672997485499881,18.758812169992495,63.74665685803808,5.574792638663442,62.72750452375045,56.6167053507824,74.81549297341856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w105_p1_kw3,C2,96.22,3.579326980404706,96.97916666666666,89.39375,101.18333333333332,91.85828461792919,3.6252427868334935,92.33709661990969,85.042405957117,96.14835108978693,63.74481202739354,29.973723617374777,57.368421363853784,27.448336424151474,124.36763825463596,314.4412051482294,87.06155720760697,304.4014563147854,187.97020741661598,463.6211526050458,60.34428451409538,29.939959669803677,53.68639494570918,23.840137368947133,120.67824556837597,24.26477448647183,5.764049025496252,24.160875160875158,14.065227907385827,33.319065877419575,75.73522551352818,5.764049025496249,75.83912483912485,66.68093412258042,85.93477209261418,63.91381055903451,6.713557233913016,64.01158400435797,53.92821622319814,74.45367665108756,95.7626490946818,49.185967763122946,81.86927615022375,33.74934856862989,193.68951508433736,0.0,0.0,0.0,0.0,0.0,11.4807491558578,3.937350222001206,11.072904020897745,6.168311463474196,18.434647940066228,66.75969404447802,7.173589326802365,64.90648364538475,55.88290546731903,79.71535184041203,123.22,34.61584513909601,123.0,72.35,181.75,19.604140672597918,7.5001572534146845,20.0,8.873949579831933,34.22793206050087
stress_w105_p1_kw3,C3,89.48083333333334,3.47252140434413,90.33333333333333,83.59375,93.90208333333332,85.4187240628646,3.376080767787565,85.68051422654347,81.10674712583884,89.26930311806431,113.11409645693409,23.457080213260603,109.34119525041282,80.08244153810683,150.68192730391377,438.9968549254624,58.58818033394014,422.41807544297296,380.9971799843921,545.3873255380208,110.06905320128914,23.35961192326614,106.56072592161266,77.2403454050466,147.30419645260565,31.269635074384365,6.579741011852699,32.481145688692855,19.81106274357864,39.37203947368421,68.73036492561565,6.579741011852698,67.51885431130714,60.62796052631578,80.18893725642135,55.0088855412106,6.311179465402937,54.557204178349004,45.167619630312814,64.6396995424249,182.8613372436829,33.58668997189955,174.48018213788154,147.51763043998326,242.35909096009678,0.0,0.0,0.0,0.0,0.0,10.219120743487402,3.5707894210242697,9.949573517611569,5.994173321423162,16.12151915822348,64.48157368511423,6.445878979271549,64.76144050907047,54.27409260243132,74.21641061573382,165.22,45.4188174613985,171.5,94.0,234.75,45.372414785774836,9.272237793781237,46.151780919992845,29.541666666666668,57.38521836506159
