scenario,strategy,one_minus_soc_mean,one_minus_soc_std,one_minus_soc_min,one_minus_soc_max,E_next_mean,E_next_std,E_next_min,E_next_max,T_idle_mean,T_idle_std,T_idle_min,T_idle_max,eta_WPT_mean,eta_WPT_std,eta_WPT_min,eta_WPT_max,D_mean,D_std,D_min,D_max,one_minus_soc_cv,E_next_cv,T_idle_cv,eta_WPT_cv,D_cv
ablation_equal_distance,C4,0.5495695820103781,0.14211651659719518,0.19248754866171258,0.8605117242050027,0.49999999999999994,0.0,0.49999999999999983,0.49999999999999983,0.05927195927796838,0.07495420384362332,0.0,0.5760518001712547,0.7572324326081646,0.24271625779051337,0.12370768717692188,1.0,0.01541952728133998,0.051185514289441424,0.0,0.3350035455089195,0.2609505406844735,0.0,1.2610802218756971,0.32058801076418336,3.3466633840621314
ablation_fixed_eta,C4,0.5137395628948236,0.12052167011858053,0.19052973135302945,0.7581017837088088,0.5006009745657206,0.35395996373334226,0.0,1.0,0.06589074800148537,0.08792912904747496,0.0,0.6519458352210886,0.9166666666666667,0.0,0.9166666666666667,0.9166666666666667,0.015938372412886835,0.053228293854628655,0.0,0.3616578196240553,0.2353774549134202,0.7077075727219544,1.3325393274496573,0.0,3.372806413571723
ablation_urgent_0pct,C4,0.5522887445813786,0.1437025532444511,0.19185165941112511,0.8661903048452863,0.5011095568036488,0.35399159806344893,0.0,1.0,0.058646135682978565,0.07345927844334925,0.0,0.5546622304119166,0.7584045572286314,0.241234441121124,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,0.26271403599531756,0.7070827784151358,1.2506401733955643,0.3181362009450304,0.0
ablation_urgent_20pct,C4,0.5522887445813786,0.1437025532444511,0.19185165941112511,0.8661903048452863,0.5011095568036488,0.35399159806344893,0.0,1.0,0.058646135682978565,0.07345927844334925,0.0,0.5546622304119166,0.7584045572286314,0.241234441121124,0.12370768717692188,1.0,0.015816846742199034,0.05299808481475688,0.0,0.3615818861771698,0.26271403599531756,0.7070827784151358,1.2506401733955643,0.3181362009450304,3.383350894253132
ablation_variable_distance,C4,0.5522887445813786,0.1437025532444511,0.19185165941112511,0.8661903048452863,0.5011095568036488,0.35399159806344893,0.0,1.0,0.058646135682978565,0.07345927844334925,0.0,0.5546622304119166,0.7584045572286314,0.241234441121124,0.12370768717692188,1.0,0.015816846742199034,0.05299808481475688,0.0,0.3615818861771698,0.26271403599531756,0.7070827784151358,1.2506401733955643,0.3181362009450304,3.383350894253132
ablation_variable_eta,C4,0.5522887445813786,0.1437025532444511,0.19185165941112511,0.8661903048452863,0.5011095568036488,0.35399159806344893,0.0,1.0,0.058646135682978565,0.07345927844334925,0.0,0.5546622304119166,0.7584045572286314,0.241234441121124,0.12370768717692188,1.0,0.015816846742199034,0.05299808481475688,0.0,0.3615818861771698,0.26271403599531756,0.7070827784151358,1.2506401733955643,0.3181362009450304,3.383350894253132
base_original,C4,0.06281133400869661,0.09898584404645738,1.6553983887114636e-05,0.4669041993971767,0.49999999999999994,0.0,0.49999999999999983,0.49999999999999983,0.03697949181411489,0.06581896990665047,0.0,0.5961805235690211,0.7468611915165628,0.24808850677073419,0.12370768717692188,1.0,0.0,0.0,0.0,0.0,1.6167047667311234,0.0,1.7747617647719813,0.33223109459633243,0.0
challenge_primary,C4,0.5522887445813786,0.1437025532444511,0.19185165941112511,0.8661903048452863,0.5011095568036488,0.35399159806344893,0.0,1.0,0.058646135682978565,0.07345927844334925,0.0,0.5546622304119166,0.7584045572286314,0.241234441121124,0.12370768717692188,1.0,0.015816846742199034,0.05299808481475688,0.0,0.3615818861771698,0.26271403599531756,0.7070827784151358,1.2506401733955643,0.3181362009450304,3.383350894253132
stress_w105_p1_kw1,C4,0.5770734989887374,0.1727178541152559,0.19537719122454233,0.9112860129841419,0.5026241656789435,0.3516148700478004,0.0,1.0,0.04317011519117246,0.05549946795927374,0.0,0.32509553665735635,0.7615402618176157,0.2396549870125682,0.12370768717692188,1.0,0.013789798643780932,0.04780761366870496,0.0,0.28499060987498565,0.3014601237107188,0.7023633842306054,1.2751667962226805,0.3150530300944359,3.6414847320721497
stress_w105_p1_kw3,C4,0.5801774399317978,0.17070188289538055,0.19447042320487345,0.9080122161958131,0.49913959301023697,0.35357068940640035,0.0,1.0,0.04243520705962745,0.053680287243206434,0.0,0.32973314149749355,0.7587506522153589,0.2423504925672287,0.12370768717692188,1.0,0.013173113298618176,0.0467904583477118,0.0,0.30057073100586196,0.2968920837346582,0.7105591315139824,1.2533870986845876,0.31962491925731373,3.711212318078128
