scenario,strategy,replication,agv_id,min_soc,completed_tasks,charge_h,stops,traction_energy,delivered_kwh,detour_m
v3_primary_challenge,C1,1007,1,19.641748123826464,460,2.68397241164306,0,5.459999999999972,7.0228848160309045,20.0
v3_primary_challenge,C1,1007,2,19.825521466449324,434,1.2311312023429943,0,5.2379999999999765,3.5087239266775336,10.0
v3_primary_challenge,C1,1007,3,19.79285538755965,424,3.10256262711863,0,5.113999999999982,7.0206627861775805,20.0
v3_primary_challenge,C1,1007,4,19.751746233718272,420,3.0903318887977136,0,5.10799999999998,7.016829354980759,20.0
v3_primary_challenge,C1,1007,5,19.907777777777646,429,3.0974708089252507,0,5.135999999999977,7.009132920836117,20.0
v3_primary_challenge,C2,1007,1,19.81486018751666,388,3.060254813357648,0,5.177999999999956,7.605484204805799,2300.0
v3_primary_challenge,C2,1007,2,19.886258267983266,436,2.36167079681771,0,5.413999999999956,5.810805958080048,1290.0
v3_primary_challenge,C2,1007,3,19.55847991604417,440,3.4000212626907578,0,5.475999999999964,5.071246119510922,970.0
v3_primary_challenge,C2,1007,4,19.765349577115536,456,4.782368503972419,0,5.705999999999965,8.367551577203006,1200.0
v3_primary_challenge,C2,1007,5,19.936215470167102,447,2.8463003317800153,0,5.821999999999962,6.516660053552413,2030.0
v3_primary_challenge,C3,1007,1,19.914156192894907,482,3.120537812199624,0,6.301999999999934,8.027162593808715,2610.0
v3_primary_challenge,C3,1007,2,19.857366143816503,413,2.7038489755223245,0,5.343999999999946,6.991168371122015,1960.0
v3_primary_challenge,C3,1007,3,19.857073449421193,427,2.7527755179679803,0,5.601999999999943,7.269801675066503,2360.0
v3_primary_challenge,C3,1007,4,19.948817171228875,396,3.211520320055591,0,5.307999999999944,7.862634910536347,2810.0
v3_primary_challenge,C3,1007,5,19.766949967394083,449,3.194457758414793,0,5.995999999999928,7.344355143058371,2830.0
v3_primary_challenge,C4,1007,1,19.936776744017088,386,3.0212119723215953,0,5.243999999999945,7.965468149364277,2710.0
v3_primary_challenge,C4,1007,2,19.882452796521203,422,2.748681552181055,0,5.497999999999949,7.169251704455359,2050.0
v3_primary_challenge,C4,1007,3,19.6959313514221,411,4.084032930116823,0,5.271999999999947,6.812746119510932,2000.0
v3_primary_challenge,C4,1007,4,19.624576911785425,453,3.2913154799951907,0,5.975999999999943,7.395384910536343,2430.0
v3_primary_challenge,C4,1007,5,19.95274424610899,495,2.708483298310652,0,6.329999999999937,6.665355143058367,2220.0
v3_primary_challenge,C5,1007,1,17.51746279808928,434,1.9523698375743597,0,5.789999999999929,5.074423271527077,2960.0
