scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls
v3_primary_challenge,C1,1007,2167,2161,90.04166666666667,99.72311952007384,3.7648619588327095,99.90188858260578,2.001372958899575,38.526315789473685,23.817966903073284,61.473684210526315,0.2974239257823281,20.805810690717507,0,140.0,26.065999999999885,4.518888888888884,36.22738671836188,28.116706026925137,8.110680691436748,77.61174231392783,29.703888888888752,0.0,28.116706026925137,50.31581488661372,0.0,0,104.02905345358752,0,0.0,0,14,0.3,0.7,0.0,0
v3_primary_challenge,C2,1007,2167,2161,90.04166666666667,99.72311952007384,6.951984197795282,225.93364605127655,5.133957756388973,42.315789473684205,24.40898345153665,57.684210526315795,0.2609670913170677,41.95578589446292,0,7790.0,27.595999999999805,4.625138888888893,49.351847125855656,33.371747913152184,15.980099212703463,67.62005853205153,19.55847991604417,12.32046941934279,21.0512784938094,68.54423211924396,2.0,4,209.77892947231462,386,40.41450777202073,170,779,,,0.0,0
v3_primary_challenge,C3,1007,2167,2025,84.375,93.44716197508076,11.198221486413996,383.59273636767807,10.414733755789486,19.789473684210524,6.973995271867617,80.21052631578948,0.27319605235421957,152.74151559741043,0,12570.0,28.551999999999694,4.691527777777792,44.949421152480916,37.49512269359195,7.4542984588889825,83.41625260623064,19.766949967394083,19.96525098862472,17.529871704967228,62.42975160066797,2.0,4,763.7075779870521,587,58.43270868824531,266,1257,,,0.0,0
v3_primary_challenge,C4,1007,2167,2016,84.0,93.03184125519151,14.78098560125398,405.6586430453635,13.651816514645144,27.368421052631575,14.420803782505908,72.63157894736842,0.2659411786145113,143.5887793372085,0,11410.0,28.31999999999972,4.6754166666666785,47.561175698775926,36.00820602692528,11.552969671850663,75.70924288116791,19.624576911785425,18.462830129418016,17.54537589750726,66.05718847052215,2.0,4,717.9438966860424,548,56.56934306569343,244,1141,,,0.0,0
v3_primary_challenge,C5,1007,2167,2106,87.75,97.18504845408398,11.97630892980667,256.5463213891853,10.410094169202878,36.8421052631579,23.99527186761229,63.1578947368421,0.289473815673959,68.41105914777503,0,9170.0,27.871999999999773,4.644305555555562,39.08942635737473,32.272817138036345,6.816609219338385,82.56150101304226,19.68565089579105,14.735229720337943,17.5375874176984,54.290869940798245,2.0,4,342.0552957388752,442,43.89140271493213,207,917,,,0.6956433903542347,910
v3_primary_challenge,C1,1008,2146,2136,89.0,99.53401677539608,2.280287193709866,105.3094276990471,1.0049469153607153,35.99088838268793,9.607498535442293,64.00911161731207,0.31942871654997146,14.439715826228905,0,120.0,25.637999999999902,4.462916666666661,30.405662042010267,24.108708917965487,6.296953124044775,79.29019563742918,29.611111111111033,0.0,24.108708917965487,42.23008616945871,0.0,0,72.19857913114453,0,0.0,0,12,0.3,0.7,0.0,0
v3_primary_challenge,C2,1008,2146,2136,89.0,99.53401677539608,0.6691983485411455,83.25537280665351,0.13043286762115222,15.03416856492027,0.05858230814294041,84.96583143507974,0.30458426115476833,4.7369515717340015e-17,0,11850.0,27.983999999999753,4.6258333333333415,35.749665984283396,29.403605996354816,6.346059987928604,82.24861739766047,19.64779299534326,18.859692206021244,10.543913790333564,49.65231386706031,2.0,4,2.3684757858670006e-16,564,34.04255319148936,259,1185,,,0.0,0
v3_primary_challenge,C3,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.32161712434812784,4.7369515717340015e-17,0,14630.0,28.539999999999687,4.6644444444444595,29.61783523467397,23.508821382448396,6.109013852225601,79.37386779343795,28.985003722297183,23.508821382448396,0.0,41.135882270380556,2.0,4,2.3684757858670006e-16,699,58.798283261802574,317,1463,,,0.0,0
v3_primary_challenge,C4,1008,2146,2136,89.0,99.53401677539608,0.4281887237263722,3.571786913525769,0.011974988757186097,9.56719817767654,0.0,90.43280182232346,0.3216171243481278,2.3684757858670008e-17,0,14630.0,28.53999999999969,4.6644444444444595,29.617835234673972,23.96003846334313,5.657796771330857,80.8973318728332,23.060911210573845,23.96003846334313,0.0,41.135882270380556,2.0,4,1.1842378929335003e-16,699,51.78826895565093,317,1463,,,0.0,0
v3_primary_challenge,C5,1008,2146,2114,88.08333333333333,98.50885368126747,2.001669677459814,177.59901330973636,1.0918601216419386,23.234624145785876,10.42765084944347,76.76537585421413,0.29153619087387805,25.8560796687103,0,12640.0,28.141999999999733,4.636805555555567,40.44697128540386,30.67338733415685,9.773583951247033,75.8360548623476,19.683494125417262,20.143753039094424,10.529634295062428,56.17634900750541,2.0,4,129.2803983435515,598,40.468227424749166,279,1264,,,0.934073798591271,1261
v3_primary_challenge,C1,1009,2120,2119,88.29166666666667,99.95283018867924,5.1668398354555345,130.81548588941254,3.2252823862967674,42.26044226044227,24.927028604786926,57.73955773955773,0.3009658784147442,40.26596096688774,0,150.0,25.527999999999913,4.422777777777773,39.65228377069208,30.148979184834086,9.503304585857997,76.03339913328749,29.62635651907463,0.0,30.148979184834086,55.072616348183445,0.0,0,201.32980483443868,0,0.0,0,15,0.3,0.7,0.0,0
v3_primary_challenge,C2,1009,2120,2119,88.29166666666667,99.95283018867924,0.8947445280472737,83.90241558518937,0.19545784710600636,17.690417690417693,1.3426736719206023,82.30958230958231,0.30306932404243575,1.890491817794609,0,11420.0,27.78199999999977,4.579305555555566,38.895043344723085,33.0074871994282,5.887556145294902,84.86296546036975,19.618939284849706,18.957051117902168,14.05043608152603,54.02089353433765,2.0,4,9.452459088973047,548,39.78102189781022,252,1142,,,0.0,0
v3_primary_challenge,C3,1009,2120,2120,88.33333333333333,100.0,0.4122889213091797,4.0288304580807255,0.011007360279188347,9.336609336609335,0.0,90.66339066339066,0.3276505622905711,0.0,0,14580.0,28.4139999999997,4.623194444444461,30.045797575394378,24.25168339398193,5.794114181412475,80.71572516298431,21.628866674074562,24.25168339398193,0.0,41.73027441027001,2.0,4,0.0,696,61.206896551724135,320,1458,,,0.0,0
