metric,value
total_solver_calls,67268.0
calls_per_rep,1345.36
total_solver_time_s,188.98642488254364
total_solver_time_per_rep_s,3.779728497650873
mean_solve_time_s,0.002809455088341316
median_solve_time_s,0.0016777815180829998
p95_solve_time_s,0.006933595694135822
max_solve_time_s,0.0208180811023339
mean_binary_variables,27.414446690848546
mean_constraints,138.81361122673485
fallback_calls,0.0
infeasible_calls,0.0
time_limit_calls,0.0
safety_slack_total,0.0
reserve_slack_total,5388.456890160774
task_slack_total,1811.0204710295493
mean_available_agv_slot_pairs,27.414446690848546
mean_forecast_busy_agv_slot_pairs,23.2991764286139
mean_actual_busy_agv_slot_pairs,0.0
