,C5_no_prior_20rep_mean
replication,1016.5
requested_tasks,2148.05
completed_tasks,2054.0
throughput,85.58333333333333
completion_rate,95.64077875301703
mean_delay,57.013802220020864
max_delay,386.5372497106815
mean_tardiness,54.23578729527954
urgent_deadline_violation_rate,59.690509515241594
normal_deadline_violation_rate,54.56599208466827
urgent_on_time_rate,40.30949048475842
idle_ratio,0.2985292566202233
charging_wait,145.84748398006053
low_soc_stops,0.0
detour_distance_m,1133.5
traction_energy,25.998699999999893
aux_energy,4.490527777777773
wpt_input_energy,37.72446761671962
battery_delivered_energy,29.41076798874308
wpt_loss,8.313699627976538
mean_efficiency,78.67929103032297
fleet_min_soc,19.68004700935802
opportunity_charging_energy,2.7366356542390498
mandatory_charging_energy,26.67413233450403
pad_utilization,52.395093912110575
mean_queue,2.0
max_queue,4.0
pad_waiting_time,729.2374199003027
charging_contention_events,328.2
different_decision_rate_C4_vs_C3,50.35705967797726
deferred_charging_requests,10.7
charging_sessions,113.35
c1_start_soc,
c1_target_soc,
solver_computation_time_s,2.455952943203738
solver_calls,674.15
solver_mean_time_s,0.0036052278308386747
solver_median_time_s,0.002153534037643112
solver_p95_time_s,0.008330965989734975
solver_max_time_s,0.014649639109848067
solver_mean_binary_variables,27.541480188136667
solver_mean_constraints,139.46401895842197
solver_mean_available_agv_slot_pairs,27.541480188136667
solver_mean_actual_busy_agv_slot_pairs,0.0
solver_mean_forecast_busy_agv_slot_pairs,23.52999080975314
solver_infeasible_calls,0.0
solver_time_limit_calls,0.0
solver_fallback_calls,0.0
solver_safety_slack_total,0.0
solver_reserve_slack_total,186.91655746811807
solver_task_slack_total,58.517740863363635
