scenario,strategy,replication,agv_id,min_soc,completed_tasks,charge_h,stops,traction_energy,delivered_kwh,detour_m
v3_primary_challenge,C1,1007,1,29.721192568270915,436,2.1839436106572014,0,5.231999999999981,6.0271625938086855,30.0
v3_primary_challenge,C1,1007,2,29.764444444444354,438,1.4527342098027447,0,5.273999999999973,4.020279482233093,20.0
v3_primary_challenge,C1,1007,3,29.643333333333207,425,2.205754784379153,0,5.125999999999977,6.036885008399807,30.0
v3_primary_challenge,C1,1007,4,29.636111111110967,433,2.1701311069553384,0,5.1779999999999795,6.026468243869656,30.0
v3_primary_challenge,C1,1007,5,29.70388888888881,435,2.183783384384832,0,5.255999999999979,6.026771809725009,30.0
v3_primary_challenge,C2,1007,1,19.917657820801615,401,2.7218093964791232,0,5.359999999999953,7.489839110397148,2260.0
v3_primary_challenge,C2,1007,2,27.13433097872159,447,1.8832925324394705,0,5.911999999999931,5.171559563747914,2620.0
v3_primary_challenge,C2,1007,3,19.885013899302674,438,2.294255716360189,0,5.57799999999995,6.338289417914296,1560.0
v3_primary_challenge,C2,1007,4,19.899693565240852,432,2.705791901517303,0,5.605999999999944,7.477440516578422,2220.0
v3_primary_challenge,C2,1007,5,28.32390154302517,449,1.9069116309909433,0,5.883999999999942,5.234470633065506,2850.0
v3_primary_challenge,C3,1007,1,31.369512675345952,429,2.0873536554666203,0,5.749999999999935,5.738779454634095,3080.0
v3_primary_challenge,C3,1007,2,31.233824356777085,437,1.6977124411022926,0,5.783999999999934,4.653199135105102,2470.0
v3_primary_challenge,C3,1007,3,31.40744787433748,433,1.7774157910016093,0,5.725999999999935,4.881494300449689,2680.0
v3_primary_challenge,C3,1007,4,31.89517045624654,430,2.04758766392787,0,5.793999999999932,5.621107970803173,2980.0
v3_primary_challenge,C3,1007,5,31.543940312092687,438,1.8202621479100762,0,5.775999999999927,5.007832117696438,2750.0
v3_primary_challenge,C4,1007,1,26.736413622675215,432,2.090861599761895,0,5.775999999999928,5.749187937315688,3100.0
v3_primary_challenge,C4,1007,2,31.58565538831466,435,1.7232578158347862,0,5.707999999999937,4.731191128819186,2310.0
v3_primary_challenge,C4,1007,3,32.517581968214635,433,1.777195305980771,0,5.745999999999933,4.885991584878232,2520.0
v3_primary_challenge,C4,1007,4,29.75352424426767,433,2.015602208374324,0,5.835999999999933,5.533177783528791,3250.0
v3_primary_challenge,C4,1007,5,29.40306319674474,434,1.8234147694566922,0,5.763999999999933,5.020580262116945,2780.0
v3_primary_challenge,C5,1007,1,24.66324374847512,436,2.0501617874165095,0,5.775999999999915,5.635170251504172,3060.0
v3_primary_challenge,C5,1007,2,27.03077676791895,441,1.6239605935125379,0,5.831999999999937,4.46145633456455,2460.0
v3_primary_challenge,C5,1007,3,31.12574408575267,437,1.7470194159888905,0,5.757999999999941,4.796005546020803,2410.0
v3_primary_challenge,C5,1007,4,25.5338992814177,427,2.003339176493606,0,5.79799999999993,5.487298994121571,3110.0
v3_primary_challenge,C5,1007,5,44.04021267640089,426,2.005850725996925,0,5.665999999999938,5.522312240521804,2920.0
v3_primary_challenge,C1,1008,1,29.864444444444377,425,2.181440815356704,0,5.115999999999984,6.015926431973641,30.0
v3_primary_challenge,C1,1008,2,29.681522431863254,438,1.4795772110320442,0,5.279999999999984,4.030368322851288,20.0
v3_primary_challenge,C1,1008,3,29.721666666666547,415,2.16807288497061,0,5.027999999999982,6.031572978400872,30.0
v3_primary_challenge,C1,1008,4,29.66863919202129,426,1.4521730274700722,0,5.0179999999999785,4.018901373732273,20.0
v3_primary_challenge,C1,1008,5,29.797314890962788,442,1.4589877362917858,0,5.195999999999975,4.013356477674087,20.0
v3_primary_challenge,C2,1008,1,27.9108976370307,434,1.9458437350402245,0,5.75199999999994,5.338610202714107,2870.0
v3_primary_challenge,C2,1008,2,31.95688816060106,438,1.7747497168902306,0,5.685999999999942,4.869663931966712,2700.0
v3_primary_challenge,C2,1008,3,19.86841008079063,420,2.6456819240050695,0,5.385999999999955,7.301017623129551,2200.0
v3_primary_challenge,C2,1008,4,65.85837304715531,417,2.5584112899391664,0,5.8119999999999274,7.0197529453074745,3590.0
v3_primary_challenge,C2,1008,5,33.26404282376919,437,1.6192725159863963,0,5.741999999999942,4.443978756223197,2460.0
v3_primary_challenge,C3,1008,1,43.19064728019878,426,2.236007209563432,0,5.727999999999935,6.141675830769181,3490.0
v3_primary_challenge,C3,1008,2,43.887488897070135,426,1.8797111943016676,0,5.725999999999934,5.1614846457974535,2700.0
v3_primary_challenge,C3,1008,3,43.567624401369216,431,2.1882322735407755,0,5.6499999999999435,6.007124371058301,3110.0
v3_primary_challenge,C3,1008,4,43.554215201674786,433,1.7962349312498687,0,5.761999999999936,4.927127677772066,2690.0
v3_primary_challenge,C3,1008,5,43.62965513539554,430,1.7724261362355886,0,5.673999999999941,4.867797928747113,2640.0
v3_primary_challenge,C4,1008,1,44.3860423470846,422,2.2423548615235767,0,5.629999999999935,6.164323866387916,3370.0
v3_primary_challenge,C4,1008,2,44.87740233673848,431,1.9084838854392192,0,5.767999999999945,5.234123030568272,2860.0
v3_primary_challenge,C4,1008,3,35.48681613376864,425,2.194073451785085,0,5.723999999999933,6.022372475158209,3290.0
v3_primary_challenge,C4,1008,4,41.4409238492848,439,1.7221332942821843,0,5.673999999999935,4.716049635049139,2500.0
v3_primary_challenge,C4,1008,5,40.792657343725665,429,1.805566251861266,0,5.743999999999943,4.953239008546412,2610.0
v3_primary_challenge,C5,1008,1,27.43856988205013,436,1.9583951706956217,0,5.779999999999938,5.383714270027548,2860.0
v3_primary_challenge,C5,1008,2,39.48519737413095,435,1.8060191279678477,0,5.643999999999943,4.943015496523615,2700.0
v3_primary_challenge,C5,1008,3,43.47521469782787,417,2.1909514655802744,0,5.733999999999939,6.001929335675311,3180.0
v3_primary_challenge,C5,1008,4,41.809745610858364,434,1.7838323558207296,0,5.683999999999938,4.896338839661394,2640.0
v3_primary_challenge,C5,1008,5,60.559752482833794,424,2.133413624826858,0,5.697999999999932,5.862524321144337,3250.0
v3_primary_challenge,C1,1009,1,29.853347194936436,418,2.178498449684031,0,5.033999999999985,6.016804862475405,30.0
v3_primary_challenge,C1,1009,2,29.71191207463019,411,2.209479951056822,0,4.881999999999982,6.028515507379609,30.0
v3_primary_challenge,C1,1009,3,29.799999999999937,432,2.2096025029152724,0,5.187999999999986,6.02427836244577,30.0
v3_primary_challenge,C1,1009,4,29.62423699723408,420,2.2428910537613618,0,5.065999999999985,6.046260372360527,30.0
v3_primary_challenge,C1,1009,5,29.723153952100347,439,2.174692443940503,0,5.3579999999999774,6.0281200801727675,30.0
v3_primary_challenge,C2,1009,1,26.673541161883634,424,2.00968752117899,0,5.645999999999946,5.533232530209941,2890.0
v3_primary_challenge,C2,1009,2,19.69547597939316,433,1.732779314114645,0,5.7799999999999425,4.756419114682876,2600.0
v3_primary_challenge,C2,1009,3,46.599731643787514,416,2.545330237550019,0,5.789999999999933,6.9958494704916285,3620.0
v3_primary_challenge,C2,1009,4,19.675136750934954,410,2.8239617478578185,0,5.353999999999953,7.804371483471673,2240.0
v3_primary_challenge,C2,1009,5,33.4695007276667,437,1.6606797411602314,0,5.691999999999944,4.568234005445027,2470.0
v3_primary_challenge,C3,1009,1,36.385622843533575,420,2.1473086399035357,0,5.719999999999944,5.906494500094513,3010.0
v3_primary_challenge,C3,1009,2,36.59029271108799,427,1.9987097921446992,0,5.677999999999937,5.504219920507803,2810.0
v3_primary_challenge,C3,1009,3,34.168800944626796,418,2.1164116832160977,0,5.651999999999948,5.817116201391638,2910.0
v3_primary_challenge,C3,1009,4,35.146963305126924,424,2.0096505053988176,0,5.699999999999937,5.524319221185073,3220.0
v3_primary_challenge,C3,1009,5,36.734882004479914,431,1.7431852378016524,0,5.66399999999994,4.792499717660709,2630.0
v3_primary_challenge,C4,1009,1,32.0860056008162,422,2.189347313649429,0,5.697999999999931,6.024863108393197,3230.0
v3_primary_challenge,C4,1009,2,33.70146641129464,423,1.9527212403995013,0,5.661999999999945,5.364911627444452,2870.0
v3_primary_challenge,C4,1009,3,34.89033280273158,416,2.1706020639003034,0,5.711999999999937,5.965107962812852,3290.0
v3_primary_challenge,C4,1009,4,35.7067037502669,425,2.01495034795171,0,5.735999999999942,5.52892889320724,2900.0
v3_primary_challenge,C4,1009,5,35.308704578299235,434,1.6876448925638596,0,5.60599999999995,4.6363224272234955,2290.0
v3_primary_challenge,C5,1009,1,23.953565067353146,425,1.9704446110579474,0,5.667999999999939,5.404251131843674,2900.0
v3_primary_challenge,C5,1009,2,26.861095687387497,429,1.8651027737346035,0,5.651999999999949,5.126986448826705,2700.0
v3_primary_challenge,C5,1009,3,24.514816197791028,424,2.03648899933795,0,5.755999999999934,5.601873297339507,3190.0
v3_primary_challenge,C5,1009,4,32.91976310609014,427,1.92811994405656,0,5.641999999999944,5.2915540832206265,2570.0
v3_primary_challenge,C5,1009,5,63.16957706460149,415,2.2151095302777417,0,5.695999999999937,6.081756303505674,3220.0
v3_primary_challenge,C1,1010,1,29.649768488847076,430,2.175654363095674,0,5.115999999999978,6.0417893533354325,30.0
v3_primary_challenge,C1,1010,2,29.774999999999956,438,2.1718696561757764,0,5.243999999999976,6.022513625366966,30.0
v3_primary_challenge,C1,1010,3,29.63641310451482,432,1.4766846284873574,0,5.237999999999979,4.027818233663153,20.0
v3_primary_challenge,C1,1010,4,29.764444444444322,422,1.4777128943321258,0,5.101999999999982,4.022162337777917,20.0
v3_primary_challenge,C1,1010,5,29.789444444444346,440,1.4856145112082821,0,5.33199999999998,4.0175484690592445,20.0
v3_primary_challenge,C2,1010,1,48.089453434171794,425,2.6384655748337957,0,5.8039999999999266,7.25402212800033,3770.0
v3_primary_challenge,C2,1010,2,30.996814558701345,431,2.1470251826105162,0,5.7859999999999205,5.888065735642313,3250.0
v3_primary_challenge,C2,1010,3,19.948669666281468,443,2.7362839186117456,0,5.811999999999945,7.378762678107627,2450.0
v3_primary_challenge,C2,1010,4,51.76251345520235,432,1.9610809031184386,0,5.817999999999927,5.377954677204743,2930.0
v3_primary_challenge,C2,1010,5,32.71243467094522,431,1.6861235665754843,0,5.809999999999949,4.614614647050982,2710.0
v3_primary_challenge,C3,1010,1,43.42929199123829,424,2.3190552250121623,0,5.875999999999933,6.363715349000221,3790.0
v3_primary_challenge,C3,1010,2,43.094804400415995,436,2.089281677136474,0,5.9299999999999295,5.737837178721144,3160.0
v3_primary_challenge,C3,1010,3,43.79884214987982,437,1.828843891867147,0,5.743999999999934,5.022716050156637,2690.0
v3_primary_challenge,C3,1010,4,43.32284903273658,433,1.7667661423364216,0,5.713999999999936,4.8459992338592235,2600.0
v3_primary_challenge,C3,1010,5,43.24162697730657,432,1.8603338121790163,0,5.773999999999933,5.1038242623690495,2910.0
v3_primary_challenge,C4,1010,1,40.46581459461581,428,2.248314041532474,0,5.851999999999925,6.174191194177376,3420.0
v3_primary_challenge,C4,1010,2,43.76399352964756,430,2.0454859140176653,0,5.807999999999934,5.633324412960494,2970.0
v3_primary_challenge,C4,1010,3,44.386452011533564,436,1.9212336828512033,0,5.839999999999931,5.270696454178401,3160.0
