scenario,strategy,replication,time_s,candidate_count,available_pads,c3_agv,c4_agv,c4_preview_task_id,different
v3_primary_challenge,C2,1007,0.0,5,1,1,4,4,1
v3_primary_challenge,C2,1007,70.0,5,1,1,4,3,1
v3_primary_challenge,C2,1007,110.24752694095234,4,1,1,4,3,1
v3_primary_challenge,C2,1007,120.24752694095234,3,1,1,4,3,1
v3_primary_challenge,C2,1007,177.28021208826516,2,1,1,5,4,1
v3_primary_challenge,C2,1007,636.1698607236018,3,1,5,2,15,1
v3_primary_challenge,C2,1007,646.1698607236018,2,1,5,3,16,1
v3_primary_challenge,C2,1007,716.1698607236018,4,1,1,1,18,0
v3_primary_challenge,C2,1007,738.884136662513,3,1,1,1,18,0
v3_primary_challenge,C2,1007,753.5482320828894,2,1,1,1,18,0
v3_primary_challenge,C2,1007,823.5482320828894,3,1,1,5,20,1
v3_primary_challenge,C2,1007,837.4757683052585,2,1,5,5,20,0
v3_primary_challenge,C2,1007,914.357792873839,2,1,4,5,22,1
v3_primary_challenge,C2,1007,1182.3169203632067,3,1,1,1,27,0
v3_primary_challenge,C2,1007,1252.3169203632067,4,1,1,1,27,0
v3_primary_challenge,C2,1007,1297.861107937124,4,1,1,2,30,1
v3_primary_challenge,C2,1007,1312.0942543563592,3,1,4,2,30,1
v3_primary_challenge,C2,1007,1331.937452456771,2,1,3,2,30,1
v3_primary_challenge,C2,1007,1401.937452456771,2,1,3,2,30,1
v3_primary_challenge,C2,1007,1459.8542325871372,3,1,1,5,30,1
v3_primary_challenge,C2,1007,1473.9849523746425,3,1,1,4,32,1
v3_primary_challenge,C2,1007,1523.1532974007175,2,1,4,4,32,0
v3_primary_challenge,C2,1007,2100.3161711921293,3,1,4,4,47,0
v3_primary_challenge,C2,1007,2131.0873944055734,3,1,3,3,50,0
v3_primary_challenge,C2,1007,2201.0873944055734,4,1,1,1,50,0
v3_primary_challenge,C2,1007,2211.0873944055734,3,1,1,1,50,0
