scenario,strategy,replication,pad_id,utilization,sessions,wait_min,input_kwh,delivered_kwh
v3_primary_challenge,C1,1007,1,42.484779567413625,14,51.63646550034173,30.589041288537807,28.137567138036246
v3_primary_challenge,C2,1007,1,47.966921574112625,1151,47.668721962569784,34.53618353336104,31.711599241703293
v3_primary_challenge,C3,1007,1,39.29304874753529,1396,0.0,28.2909950982255,25.90241297868851
v3_primary_challenge,C4,1007,1,39.29304874753529,1396,0.0,28.2909950982255,25.92012869665884
v3_primary_challenge,C5,1007,1,39.29304874753529,1396,0.0,28.2909950982255,25.90224336673288
v3_primary_challenge,C1,1008,1,36.41771531300507,12,68.51780330187849,26.220755025363648,24.11012558463216
v3_primary_challenge,C2,1008,1,43.93316325775453,1382,0.0,31.631877545583396,28.973023459341086
v3_primary_challenge,C3,1008,1,41.13588227038054,1463,0.0,29.617835234674136,27.10521045414409
v3_primary_challenge,C4,1008,1,41.13588227038054,1463,0.0,29.617835234674136,27.090108015709966
v3_primary_challenge,C5,1008,1,41.13588227038054,1463,0.0,29.617835234674136,27.08752226303218
v3_primary_challenge,C1,1009,1,45.89651833899163,15,132.61334997306864,33.04549320407397,30.143979184834077
v3_primary_challenge,C2,1009,1,44.88516067442378,1382,0.0,32.31731568558525,29.658106604301157
v3_primary_challenge,C3,1009,1,41.73027441027001,1458,0.0,30.045797575394563,27.54464956083977
v3_primary_challenge,C4,1009,1,41.73027441027001,1458,0.0,30.045797575394563,27.52013401908125
v3_primary_challenge,C5,1009,1,41.73027441027001,1458,0.0,30.045797575394563,27.506421264736204
v3_primary_challenge,C1,1010,1,36.6147335554134,12,78.77472955392126,26.362608159897654,24.13183201920271
v3_primary_challenge,C2,1010,1,46.537413107291584,1511,0.0,33.50693743725006,30.513419866006
v3_primary_challenge,C3,1010,1,41.10116978554675,1515,0.0,29.592842245593783,27.07409207410628
v3_primary_challenge,C4,1010,1,41.10116978554675,1515,0.0,29.592842245593783,27.09145984145316
v3_primary_challenge,C5,1010,1,41.10116978554675,1515,0.0,29.592842245593783,27.12964619924291
v3_primary_challenge,C1,1011,1,45.84987079108763,15,265.6552170547109,33.011906969583094,30.144128489810736
v3_primary_challenge,C2,1011,1,51.139725864407936,1095,32.95204633528362,36.82060262237379,33.83301399551381
v3_primary_challenge,C3,1011,1,53.3058395692238,1370,203.31904859921244,38.38020448984124,35.174113141139834
v3_primary_challenge,C4,1011,1,63.37176991477635,1338,612.0413586658756,45.627674338639075,41.7599618231443
v3_primary_challenge,C5,1011,1,63.29426143620432,1337,598.8503329131897,45.571868234067225,41.72412848981095
v3_primary_challenge,C1,1012,1,42.937573936098275,14,74.28444391010622,30.915053233990754,28.11625953687527
v3_primary_challenge,C2,1012,1,42.3398561653562,1372,0.0,30.484696439056584,27.93065585799048
v3_primary_challenge,C3,1012,1,39.83461265149875,1459,1.1842378929335003e-16,28.68092110907924,26.277753594347313
v3_primary_challenge,C4,1012,1,39.83461265149875,1459,1.1842378929335003e-16,28.68092110907924,26.267139167250857
v3_primary_challenge,C5,1012,1,39.83461265149875,1459,0.0,28.68092110907924,26.256626778370673
