scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
v3_base,C1,1007,1826,1818,75.75,99.5618838992333,1.0173928378820511,62.700799127031736,0.3851380904122473,0,4.70974808324206,100,0.42330481931796865,0.0,0,100.0,21.93199999999994,3.8055555555555456,25.01026504553125,20.109900471369663,4.900364574161583,80.40658679450033,29.678888888888554,0.0,20.109900471369663,17.36823961495225,0.0,0,0.0,0,0.0,0,10,0.3,0.7,0.0,0,,,,,,,,,,,,,,,
v3_base,C2,1007,1826,1818,75.75,99.5618838992333,0.18073388284012729,2.9321529450288533,0.0,0,0.0,100,0.36232966771064523,0.0,0,25990.0,27.109999999999456,4.165138888888913,46.96131962416766,37.55751153691911,9.403808087248649,79.97541772141966,52.09397034604879,37.55751153691911,0.0,32.612027516783115,1.5,3,0.0,310,19.35483870967742,464,2599,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C3,1007,1826,1818,75.75,99.5618838992333,0.18058359260236745,2.9321529450288533,0.0,0,0.0,100,0.3627652525696138,0.0,0,25550.0,27.021999999999466,4.159027777777801,46.80450907493903,37.4633967507167,9.341112324222404,80.04228116298323,52.09397034604879,37.4633967507167,0.0,32.50313130204099,1.5,3,0.0,325,49.23076923076923,449,2555,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C4,1007,1826,1818,75.75,99.5618838992333,0.18069638396652862,2.9321529450288533,0.0,0,0.0,100,0.36265189335163633,0.0,0,25650.0,27.04199999999946,4.160416666666691,46.8453183934109,37.484785639605576,9.360532753805398,80.01821083764489,52.09397034604879,37.484785639605576,0.0,32.531471106535356,1.5,3,0.0,309,45.307443365695796,453,2565,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C5,1007,1826,1818,75.75,99.5618838992333,0.18156712137662306,2.9321529450288533,0.0,0,0.0,100,0.3653291116308751,0.0,0,22730.0,26.45799999999953,4.119861111111129,45.88151981288493,36.73162280961378,9.149897003271187,80.05755467432974,52.09397034604879,36.73162280961378,0.0,31.86216653672567,1.5,3,0.0,811,48.33538840937115,463,2273,,,21.516092393896542,2426,0.008868958117846885,0.0072686664934735745,0.021565791743341833,0.0980067920172587,45.939818631492166,147.66529266281947,27.582440230832646,0.0,21.336356141797197,0.0,0.0,0.0,0.0,0.0,0.0
v3_base,C1,1008,1782,1778,74.08333333333333,99.77553310886644,0.9059196038567218,52.36564201832856,0.3143434253388105,0,3.928170594837266,100,0.4352914460072463,0.0,0,100.0,21.403999999999964,3.7138888888888797,25.09507943739132,20.117764473521156,4.9773149638701675,80.16617171390963,29.678888888888554,0.0,20.117764473521156,17.42713849818842,0.0,0,0.0,0,0.0,0,10,0.3,0.7,0.0,0,,,,,,,,,,,,,,,
v3_base,C2,1008,1782,1778,74.08333333333333,99.77553310886644,0.19318436364210753,3.258089424490754,0.0,0,0.0,100,0.38090126544186537,0.0,0,25440.0,26.47199999999949,4.065833333333355,44.675544440928434,35.71383239233052,8.96171204859797,79.94045252107132,53.859072558193134,35.71383239233052,0.0,31.024683639533677,1.5,3,0.0,236,34.32203389830508,499,2544,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C3,1008,1782,1778,74.08333333333333,99.77553310886644,0.1931382240247221,3.258089424490754,0.0,0,0.0,100,0.38136147999741843,0.0,0,24950.0,26.373999999999498,4.0590277777778,44.509867200929335,35.60829619774164,8.901571003187762,80.00090415232279,54.755292755907384,35.60829619774164,0.0,30.90963000064539,1.5,3,0.0,246,43.49593495934959,481,2495,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C4,1008,1782,1778,74.08333333333333,99.77553310886644,0.19301582537723694,3.258089424490754,0.0,0,0.0,100,0.38119599456772246,0.0,0,25080.0,26.399999999999494,4.060833333333356,44.569441955619865,35.63683237140961,8.932609584210303,79.95799545099774,54.92943870418938,35.63683237140961,0.0,30.95100135806935,1.5,3,0.0,235,32.76595744680851,484,2508,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C5,1008,1782,1778,74.08333333333333,99.77553310886644,0.19242194855632644,3.258089424490754,0.0,0,0.0,100,0.38503282940246136,0.0,0,20750.0,25.533999999999594,4.000694444444459,43.18818141511387,34.52637977043312,8.661801644680773,79.9440463551227,54.378949553321064,34.52637977043312,0.0,29.99179264938465,1.5,3,0.0,880,61.47727272727273,438,2075,,,24.081230788840912,2442,0.009861273869304223,0.007489687501220033,0.023694906278979008,0.2489579159882851,47.05159705159705,149.81654381654383,28.05896805896806,0.0,21.43161343161343,0.0,0.0,0.0,0.0,0.0,0.0
v3_base,C1,1009,1761,1753,73.04166666666667,99.54571266325951,0.6539192941995093,52.82244288769167,0.258998645086915,0,0.624645088018172,100,0.4407994366557341,0.0,0,100.0,21.151999999999973,3.6701388888888795,25.212202803935718,20.11772918483416,5.0944736191015565,79.79361954717305,29.678888888888554,0.0,20.11772918483416,17.508474169399804,0.0,0,0.0,0,0.0,0,10,0.3,0.7,0.0,0,,,,,,,,,,,,,,,
v3_base,C2,1009,1761,1753,73.04166666666667,99.54571266325951,0.16573163056900847,2.9143122111023634,0.0,0,0.0,100,0.37932513989172356,0.0,0,26260.0,26.38399999999949,4.033472222222246,47.342949638979476,37.86391637411701,9.479033264862526,79.97794109334926,48.873348884294025,37.86391637411701,0.0,32.87704836040239,1.5,3,0.0,315,27.61904761904762,527,2626,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C3,1009,1761,1753,73.04166666666667,99.54571266325951,0.16540557069937675,2.9143122111023634,0.0,0,0.0,100,0.3796351289343349,0.0,0,25850.0,26.301999999999495,4.0277777777778,47.231353583639425,37.77621610298458,9.455137480654917,79.98122695359288,50.9531458597968,37.77621610298458,0.0,32.799551099749586,1.5,3,0.0,328,51.52439024390244,513,2585,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C4,1009,1761,1753,73.04166666666667,99.54571266325951,0.1654469065538602,2.9143122111023634,0.0,0,0.0,100,0.3796943390711429,0.0,0,25840.0,26.299999999999496,4.027638888888912,47.21003793438851,37.77408304078367,9.43595489360492,80.01282077612663,50.9531458597968,37.77408304078367,0.0,32.7847485655476,1.5,3,0.0,329,40.42553191489361,503,2584,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C5,1009,1761,1753,73.04166666666667,99.54571266325951,0.16491479805380843,2.9143122111023634,0.0,0,0.0,100,0.382734817877807,0.0,0,22090.0,25.549999999999585,3.975555555555571,46.11546556398949,36.89132685611541,9.224138707874097,79.99773265852704,49.97494919263027,36.89132685611541,0.0,32.02462886388159,1.5,3,0.0,886,56.20767494356659,477,2209,,,20.518885457539,2499,0.00821083851842297,0.006978332996368408,0.020072103780694305,0.24697787495097145,47.016806722689076,150.8423369347739,28.331332533013207,0.0,21.50220088035214,0.0,0.0,0.0,0.0,0.0,0.0
v3_base,C1,1010,1793,1789,74.54166666666667,99.77691020635805,0.8118250181266949,63.664283098650046,0.2882157668396813,0,2.1193530395984372,100,0.43151691334033215,1.8865743127045183,0,100.0,21.53599999999996,3.7368055555555455,25.35391119748042,20.13466535253616,5.219245844944265,79.41443509724476,29.678888888888554,0.0,20.13466535253616,17.606882776028073,0.0,0,9.43287156352259,0,0.0,0,10,0.3,0.7,0.0,0,,,,,,,,,,,,,,,
v3_base,C2,1010,1793,1789,74.54166666666667,99.77691020635805,0.1732543644352753,3.7345489438534667,0.0,0,0.0,100,0.37870398561602636,0.0,0,25760.0,26.66799999999948,4.0931944444444675,44.366565178230466,35.47780072935349,8.88876444887704,79.96517329396853,49.828929059274266,35.47780072935349,0.0,30.810114707104518,1.5,3,0.0,214,25.233644859813083,453,2576,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C3,1010,1793,1789,74.54166666666667,99.77691020635805,0.17307625901412585,3.7345489438534667,0.0,0,0.0,100,0.37901160455500865,0.0,0,25250.0,26.56599999999949,4.0861111111111335,44.25582236019683,35.403694984516626,8.852127375680263,79.99782423285913,52.80699071106939,35.403694984516626,0.0,30.73320997235892,1.5,3,0.0,248,35.88709677419355,442,2525,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C4,1010,1793,1789,74.54166666666667,99.77691020635805,0.17290674693489863,3.7345489438534667,0.0,0,0.0,100,0.37903403817408776,0.0,0,25330.0,26.58199999999949,4.087222222222245,44.247746257328345,35.38790336530373,8.859842892024686,79.97673635059493,52.80699071106939,35.38790336530373,0.0,30.72760156758917,1.5,3,0.0,244,33.19672131147541,436,2533,,,0.0,0,,,,,,,,,,,,,,,
v3_base,C5,1010,1793,1789,74.54166666666667,99.77691020635805,0.17486282704751663,3.7345489438534667,0.0,0,0.0,100,0.38189592304954373,0.0,0,21940.0,25.903999999999563,4.040138888888905,43.21746770216421,34.58230568820784,8.635162013956414,80.01927814589668,48.470957647061674,34.58230568820784,0.0,30.01213034872518,1.5,3,0.0,847,56.78866587957497,478,2194,,,23.252728851512074,2546,0.009133043539478426,0.00736408302327618,0.021295062484568916,0.1760363340144977,46.18421052631579,147.73055773762766,27.602120974076982,0.0,21.458758837391986,0.0,0.0,0.0,0.0,0.0,0.0
v3_base,C1,1011,1818,1814,75.58333333333333,99.77997799779979,2.2801179781869467,68.53447342405622,1.2098497735117684,0,14.301430143014304,100,0.4255581213090734,2.4666584607588207,0,100.0,21.835999999999945,3.788888888888879,24.999076328733583,20.12446182314415,4.874614505589435,80.50082154440793,29.67692828750379,0.0,20.12446182314415,17.360469672731654,0.0,0,12.333292303794103,0,0.0,0,10,0.3,0.7,0.0,0,,,,,,,,,,,,,,,
v3_base,C2,1011,1818,1814,75.58333333333333,99.77997799779979,0.19757020939114078,3.089745526911429,0.0,0,0.0,100,0.35878350103979695,2.3684757858670008e-17,0,26460.0,27.10799999999945,4.155000000000024,49.03793962567307,39.20310946522105,9.834830160452093,79.94444661516091,51.53162987534591,39.20310946522105,0.0,34.05412474005071,1.5,3,1.1842378929335003e-16,353,24.645892351274785,544,2646,,,0.0,0,,,,,,,,,,,,,,,
